date,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-11,0.8592592593,1.0263157895,0,0.0042105263,0.024742268,0.0969387755,0,0.0131313131,0.2838383838,0.2705882353,0.2504854369,0.013592233,0.145631068,0.1238095238,0.0103773585,0.1598130841,0.1412844037,0.1536363636,0,0.0495652174,0.3327586207,0.2060344828,0.0720338983,0.0495798319,0.4088,0.03515625,0.7430769231,0,0.6176923077,0.01,0,0.0630769231,0.2923076923,0.7238461538,0.1192307692,0.0023255814,0.1338461538,0.0030769231,0.0123076923,0.0007692308,0.0153846154,0,0.0128842269,0.1736795037,0.6283076923,0,0.0234375,0.0844863369,1.0263157895,
10-12,0.9024691358,1.2694736842,0.0052631579,0,0.0216494845,0.0959183673,0,0.0080808081,0.3,0.2470588235,0.2087378641,0.0048543689,0.2854368932,0.1123809524,0.0066037736,0.3971962617,0.3,0.1290909091,0,0.0469565217,0.3362068966,0.1629310345,0.0593220339,0.2512605042,0.4928,0.0203125,0.7353846154,0.0030769231,0.6730769231,0.01,0,0.0853846154,0.27,0.9753846154,0.1207692308,0.0705426357,0.16,0.0023076923,0.1423076923,0.0007692308,0.0215384615,0.0006923077,0.01721875,0.2568823529,0.6793076923,0,0.0359375,0.1165750916,1.2694736842,
10-13,0.9518518519,1.2852631579,0.0084210526,0,0.0206185567,0.0969387755,0,0.0060606061,0.3090909091,0.237254902,0.2029126214,0.0029126214,0.4485436893,0.0952380952,0.0066037736,0.4102803738,0.3366972477,0.1163636364,0,0.0539130435,0.2965517241,0.1344827586,0.0516949153,0.2495798319,0.4928,0.01484375,0.6276923077,0.1046153846,0.6253846154,0.1307692308,0,0.07,0.2307692308,0.8769230769,0.1161538462,0.0465116279,0.5315384615,0.0015384615,0.3669230769,0.0007692308,0.0407692308,0.0006923077,0.0387437065,0.3003134796,0.6256153846,0,0.040625,0.1162587413,1.2852631579,
10-14,1.0407407407,1.2873684211,0.0431578947,0,0.0216494845,0.1112244898,0,0.0050505051,0.3050505051,0.2205882353,0.1893203883,0,0.4155339806,0.0961904762,0.0056603774,0.4654205607,0.376146789,0.1090909091,0,0.0860869565,0.2655172414,0.1353448276,0.0779661017,0.2478991597,0.5936,0.00859375,0.5676923077,0.1530769231,0.6730769231,0.1030769231,0,0.0676923077,0.2107692308,0.8461538462,0.1092307692,0.0271317829,0.55,0.0007692308,0.3207692308,0.0007692308,0.0638461538,0,0.0383500612,0.2773772205,0.6015476923,0,0.0453125,0.1102276295,1.2873684211,
10-15,1.0308641975,1.2642105263,0.0915789474,0,0.0237113402,0.1448979592,0,0.003030303,0.3797979798,0.4519607843,0.186407767,0.0009708738,0.3660194175,0.0828571429,0.0056603774,0.4551401869,0.4100917431,0.1027272727,0,0.0922413793,0.2439655172,0.275,0.1754237288,0.2369747899,0.6936,0.00546875,0.4861538462,0.0753846154,0.8153846154,0.0869230769,0,0.0476923077,0.2207692308,0.8292307692,0.0953846154,0.0100775194,0.6561538462,0.0046153846,0.2838461538,0.0007692308,0.0561538462,0.0006923077,0.0404980174,0.3084981329,0.7057784615,0,0.046875,0.123812616,1.2642105263,
10-16,1.0197530864,1.2463157895,0.0852631579,0,0.0762886598,0.1612244898,0,0.001010101,0.501010101,0.787254902,0.1650485437,0.0097087379,0.3058252427,0.12,0.0122641509,0.4373831776,0.3770642202,0.0954545455,0,0.0879310345,0.2051724138,0.2422413793,0.1720338983,0.2285714286,0.6376,0.0046875,0.4169230769,0.0484615385,0.82,0.0561538462,0,0.0415384615,0.2269230769,0.8453846154,0.0876923077,0.0093023256,0.6415384615,0.0053846154,0.2407692308,0.0007692308,0.0746153846,0.0006923077,0.0463846154,0.2613165383,0.7905294118,0,0.046875,0.1406122449,1.2463157895,
10-17,0.9975308642,1.2273684211,0.06,0,0.1463917526,0.2602040816,0,0,0.5464646465,0.9058823529,0.140776699,0.1048543689,0.2485436893,0.26,0.0330188679,0.4196261682,0.371559633,0.0872727273,0,0.075,0.1732758621,0.3982758621,0.2296610169,0.2201680672,0.6048,0.0046875,0.3830769231,0.0607692308,0.7976923077,0.0307692308,0,0.1207692308,0.2076923077,0.8707692308,0.0876923077,0.0100775194,0.6046153846,0.0046153846,0.1907692308,0.05,0.1384615385,0,0.0605384615,0.2936107471,0.805,0,0.059375,0.1598338073,1.2273684211,
10-18,0.9814814815,1.2378947368,0.0505263158,0,0.1453608247,0.2530612245,0,0,0.7525252525,1.1529411765,0.1252427184,0.1077669903,0.2038834951,0.2580952381,0.0226415094,0.4102803738,0.3532110092,0.0836363636,0,0.0974137931,0.150862069,0.8025862069,0.5203389831,0.2042016807,0.5744,0.00625,0.4176923077,0.0546153846,0.8423076923,0.0253846154,0.0007692308,0.2238461538,0.1923076923,0.9569230769,0.0992307692,0.0093023256,0.5115384615,0.0038461538,0.1430769231,0.2,0.1238461538,0.0006923077,0.0749300699,0.3703318186,0.8537692308,0,0.0703125,0.1715848806,1.2378947368,
10-19,0.950617284,1.2936842105,0.0494736842,0.0010526316,0.1278350515,0.3408163265,0,0,0.8303030303,1.2156862745,0.1262135922,0.172815534,0.1766990291,0.2295238095,0.029245283,0.3831775701,0.3229357798,0.0818181818,0,0.3137931034,0.2034482759,0.7655172414,0.5584745763,0.1781512605,0.5424,0.0234375,0.3930769231,0.0530769231,0.8538461538,0.02,0.0046153846,0.2692307692,0.1838461538,0.9653846154,0.1692307692,0.011627907,0.5623076923,0.0076923077,0.1130769231,0.48,0.1076923077,0.0042591093,0.0731958042,0.386147376,0.8635232669,0,0.08828125,0.1809987072,1.2936842105,
10-20,0.9395061728,1.4221052632,0.0484210526,0,0.1216494845,0.7346938776,0,0.001010101,0.8191919192,1.1617647059,0.1155339806,0.4262135922,0.1553398058,0.22,0.0349056604,0.3663551402,0.3064220183,0.0772727273,0,0.5405172414,0.2568965517,0.8517241379,0.593220339,0.168907563,0.5208,0.015625,0.38,0.0507692308,0.8453846154,0.0146153846,0.0123076923,0.2415384615,0.1769230769,0.9046153846,0.38,0.019379845,0.6592307692,0.0276923077,0.0961538462,0.4946153846,0.1069230769,0.0111779332,0.0693216783,0.5024707692,0.8570132626,0,0.11640625,0.2307692308,1.4221052632,
10-21,0.9234567901,1.48,0.0515789474,0,0.1154639175,0.8520408163,0,0,0.8050505051,1.1196078431,0.1165048544,0.4524271845,0.1310679612,0.2333333333,0.0349056604,0.3579439252,0.2880733945,0.0772727273,0,0.7974137931,0.2301724138,1.1646551724,0.7652542373,0.1823529412,0.56,0.0421875,0.36,0.0461538462,0.8684615385,0.0146153846,0.0384615385,0.2338461538,0.3130769231,0.8561538462,0.5846153846,0.0147286822,0.6146153846,0.0269230769,0.0784615385,0.62,0.1153846154,0.0131538462,0.0695645933,0.5936153846,0.8739610636,0,0.14296875,0.2335897436,1.48,
10-22,1.0172839506,1.7094736842,0.0547368421,0,0.1329896907,0.8530612245,0.003030303,0,0.7929292929,1.0519607843,0.1485436893,0.4417475728,0.1349514563,0.3495238095,0.0311320755,0.4280373832,0.3018348624,0.0872727273,0,1.0327586207,0.2172413793,1.1603448276,0.8694915254,0.2445378151,0.584,0.0596899225,0.3515384615,0.0538461538,0.8523076923,0.0292307692,0.0638461538,0.2176923077,0.2907692308,0.8015384615,0.74,0.0162790698,0.58,0.0330769231,0.0630769231,0.6492307692,0.1076923077,0.0149541931,0.0636153846,0.6035692308,1.0188314176,0,0.1488372093,0.2676535229,1.7094736842,
10-23,1.1382716049,1.7610526316,0.0568421053,0,0.1319587629,0.8214285714,0.0565656566,0.001010101,0.7777777778,0.9960784314,0.4106796117,0.4873786408,0.1398058252,0.3523809524,0.0264150943,0.5299065421,0.3440366972,0.2990909091,0,1.2232758621,0.2060344828,1.1405172414,0.8881355932,0.2697478992,0.592,0.2,0.3446153846,0.1353846154,0.8276923077,0.0261538462,0.3484615385,0.1923076923,0.2869230769,0.8261538462,0.78,0.0217054264,0.5446153846,0.23,0.0561538462,0.57,0.0984615385,0.0257090042,0.1765571322,0.5766,1.0102977487,0,0.2038461538,0.3443260409,1.7610526316,
10-24,1.2271604938,1.7663157895,0.0694736842,0,0.1164948454,0.7612244898,0.2484848485,0,0.7808080808,0.9549019608,0.4087378641,0.4932038835,0.3611650485,0.3752380952,0.0226415094,0.7224299065,0.4064220183,0.47,0,1.349137931,0.2017241379,1.1517241379,0.8305084746,0.2831932773,0.6024,0.3861538462,0.3376923077,0.1761538462,0.7884615385,0.0246153846,0.2938461538,0.1753846154,0.2423076923,0.8230769231,0.8723076923,0.0255813953,0.6046153846,0.5646153846,0.0561538462,0.4946153846,0.1553846154,0.0244179971,0.230132626,0.6399597412,0.9745841785,0,0.2438461538,0.3962879323,1.7663157895,
10-25,1.2135802469,1.7505263158,0.1905263158,0.0105263158,0.106185567,0.6908163265,0.4,0.004040404,0.7666666667,0.9382352941,0.3932038835,0.6932038835,0.8572815534,0.3733333333,0.0198113208,0.7897196262,0.4036697248,0.5472727273,0,1.4836206897,0.2,1.1405172414,0.7889830508,0.2865546218,0.7056,0.6007692308,0.35,0.2769230769,0.7661538462,0.0223076923,0.2569230769,0.1607692308,0.2376923077,0.76,0.8846153846,0.0937984496,0.6207692308,0.5923076923,0.0523076923,0.4376923077,0.1392307692,0.0220580552,0.2511538462,0.72192,0.9584634888,0,0.2938461538,0.4206810162,1.7505263158,
10-26,1.2,1.7210526316,0.1926315789,0,0.2,0.6663265306,0.498989899,0.0373737374,0.7424242424,0.9245098039,0.4155339806,1.1485436893,0.9067961165,0.6761904762,0.0264150943,0.776635514,0.4146788991,0.5390909091,0,1.6663793103,0.199137931,1.4698275862,0.7491525424,0.2831932773,0.7064,1.0484615385,0.58,0.4076923077,0.7753846154,0.0261538462,0.24,0.1353846154,0.2330769231,0.7423076923,0.8907692308,0.4276923077,0.6276923077,0.6492307692,0.0792307692,0.4069230769,0.1376923077,0.0362778731,0.2702352941,0.7444427324,1.1536893204,0,0.3438461538,0.5595454545,1.7210526316,
10-27,1.1987654321,1.7084210526,0.1831578947,0,0.3298969072,0.6408163265,0.5797979798,0.0252525253,0.7646464646,0.9147058824,0.4485436893,1.3077669903,0.9087378641,0.8228571429,0.0283018868,0.7953271028,0.4174311927,0.7063636364,0,1.7267241379,0.1913793103,1.6025862069,0.7186440678,0.2697478992,0.7416,1.1930769231,0.7661538462,0.4392307692,0.7492307692,0.0630769231,0.2692307692,0.1269230769,0.2253846154,0.7030769231,0.8923076923,0.4937984496,0.9646153846,0.8853846154,0.1569230769,0.3761538462,0.2,0.0595994194,0.3118522048,0.8035861148,1.2096655879,0,0.3669230769,0.6719466248,1.7267241379,
10-28,1.1716049383,1.7126315789,0.1789473684,0,0.3845360825,0.6112244898,0.9090909091,0.0444444444,0.7707070707,0.8931372549,0.4339805825,1.6155339806,0.9155339806,1.0133333333,0.0273584906,0.9943925234,0.4201834862,0.7490909091,0.0053571429,1.9775862069,0.2043103448,1.6043103448,0.6966101695,0.2722689076,0.8872,1.1992307692,0.7369230769,0.4676923077,0.7438461538,0.0730769231,0.3030769231,0.12,0.2292307692,0.6615384615,0.9669230769,0.5348837209,1.0046153846,0.9292307692,0.2261538462,0.3592307692,0.2676923077,0.0702136752,0.3423846154,0.9110238305,1.2397387268,0,0.3876923077,0.6790743155,1.9775862069,
10-29,1.1617283951,1.7221052632,0.1905263158,0,0.4628865979,0.5836734694,1.0616161616,0.1393939394,0.8353535354,0.8656862745,0.4398058252,2.1572815534,0.9038834951,1.1771428571,0.1433962264,1.1757009346,0.395412844,0.8763636364,0.0080357143,2.3534482759,0.2939655172,1.599137931,0.6847457627,0.2638655462,1.1968,1.2323076923,0.7353846154,0.4507692308,0.9092307692,0.0776923077,0.3292307692,0.0992307692,0.2323076923,0.6269230769,1.1407692308,0.5449612403,0.9276923077,0.9492307692,0.5930769231,0.4769230769,0.2607692308,0.1353776224,0.4264879309,0.9341538462,1.2689907162,0,0.4476923077,0.6558344198,2.3534482759,
10-30,1.1469135802,1.7347368421,0.2178947368,0.0042105263,0.4731958763,0.5632653061,1.2666666667,0.2797979798,0.8727272727,0.8450980392,0.4475728155,2.3854368932,0.9242718447,1.2495238095,0.1867924528,1.1682242991,0.3706422018,1,0.0214285714,2.4939655172,0.3836206897,1.599137931,0.6779661017,0.2537815126,1.2896,1.2246153846,0.7430769231,0.4,1.2484615385,0.0838461538,0.3946153846,0.0746153846,0.2384615385,0.6023076923,1.2961538462,0.519379845,0.8838461538,0.9584615385,0.5938461538,0.8892307692,0.2707692308,0.1764978229,0.3983846154,1.0440740741,1.3264522546,0.0042105263,0.4838461538,0.7105215124,2.4939655172,
10-31,1.1666666667,1.8442105263,0.2589473684,0,0.475257732,0.5418367347,1.3717171717,0.7565656566,0.8858585859,0.8382352941,0.5038834951,2.4194174757,0.9621359223,1.3885714286,0.1905660377,1.3953271028,0.395412844,1.1709090909,0.1089285714,2.5034482759,0.4948275862,1.5663793103,0.6923728814,0.2478991597,1.416,1.2946153846,0.7338461538,0.3661538462,1.3638461538,0.0823076923,0.4061538462,0.0669230769,0.2923076923,0.7261538462,1.3415384615,0.4984496124,0.8492307692,0.9423076923,0.5984615385,0.99,0.2576923077,0.1824022911,0.4889566299,1.1679393939,1.431037931,0,0.5430769231,0.7452059052,2.5034482759,
11-01,1.1851851852,2.3315789474,0.2821052632,0.0021052632,0.5340206186,0.5775510204,1.4171717172,1.0292929293,0.902020202,0.8833333333,0.6844660194,2.5097087379,1.0417475728,1.3647619048,0.1858490566,1.7130841121,0.4733944954,1.28,0.2366071429,2.7060344828,0.5137931034,1.5612068966,0.6898305085,0.2504201681,1.404,1.3038461538,0.74,0.3461538462,1.4784615385,0.1023076923,0.4061538462,0.08,0.3792307692,0.7623076923,1.4076923077,0.4782945736,0.8561538462,0.9492307692,0.6038461538,1.0192307692,0.2592307692,0.2315313342,0.5031435445,1.2136296296,1.5763946181,0.0021052632,0.5984615385,0.8092307692,2.7060344828,
11-02,1.2012345679,2.6452631579,0.4052631579,0.0042105263,0.5463917526,0.7387755102,1.6353535354,1.3919191919,0.896969697,0.912745098,0.8893203883,2.5029126214,1.0126213592,1.3714285714,0.1650943396,1.8728971963,0.4743119266,1.3209090909,0.45625,2.6879310345,0.5051724138,1.5525862069,0.686440678,0.2504201681,1.372,1.2807692308,0.9323076923,0.3392307692,1.4876923077,0.1646153846,0.4146153846,0.1069230769,0.4084615385,0.86,1.4007692308,0.4612403101,0.8938461538,0.9530769231,0.6115384615,1.0107692308,0.2592307692,0.2418875852,0.4959142676,1.2928111888,1.6591079014,0.0042105263,0.6738461538,0.8954079254,2.6879310345,
11-03,1.2024691358,2.6336842105,0.4621052632,0.0389473684,0.5628865979,0.9969387755,1.696969697,2.0505050505,0.9101010101,1.0147058824,0.8815533981,2.5174757282,0.9961165049,1.54,0.170754717,1.8785046729,0.4779816514,1.3790909091,0.7883928571,2.7525862069,0.5129310345,1.5784482759,0.6855932203,0.3504201681,1.3544,1.2353846154,0.9646153846,0.3315384615,1.48,0.3846153846,0.42,0.1084615385,0.4115384615,1.0030769231,1.4215384615,0.4372093023,1.0507692308,1.1215384615,0.63,1.0484615385,0.2469230769,0.3485319974,0.5478999289,1.2710892308,1.8957047107,0.0389473684,0.7461538462,0.9965276402,2.7525862069,
11-04,1.2074074074,2.6242105263,0.4694736842,0.3073684211,0.587628866,1.0520408163,1.7444444444,2.1,0.9282828283,1.3666666667,0.8922330097,2.7436893204,1.045631068,1.5819047619,0.1735849057,1.9009345794,0.4752293578,1.3909090909,1.0946428571,2.7637931034,0.5198275862,1.5724137931,0.6855932203,0.3663865546,1.3472,1.1884615385,1.0107692308,0.3315384615,1.5692307692,0.4646153846,0.4669230769,0.1115384615,0.4815384615,1.1215384615,1.4361538462,0.403875969,1.0315384615,1.5784615385,0.6,1.2461538462,0.2369230769,0.3629017453,0.567288482,1.3739393939,1.9208411215,0.1115384615,0.7984615385,1.0488359421,2.7637931034,
