date,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
10-14,1.05,0.925,0.3,0.1125,0.1375,0.0625,0.075,1.525,1.0875,0.025,0.35,1.175,0.125,0.175,1.575,0.225,1.5375,0.2375,0.38,0.09,2.09,0.18,1.1769230769,0.1285714286,3.1714285714,2.9142857143,1.5428571429,0.8142857143,0.05,1.0142857143,0.1142857143,0.0428571429,2.5714285714,0,0.0071428571,2.0714285714,0.3642857143,0.3642857143,0.1071428571,2.2428571429,0.0485714286,0.1264285714,1.0725,2.0751428571,0,0.4285714286,0.35,3.1714285714
10-15,1.075,1.0625,0.35,0.1375,0.1375,0.0625,0.075,1.55,1.775,0.025,0.45,1.2,0.125,0.175,1.575,0.2375,1.55,0.2375,0.38,0.09,2.78,0.18,1.1923076923,0.1928571429,3.1714285714,2.9214285714,1.55,0.8285714286,0.05,1.0142857143,0.1142857143,0.0428571429,2.5785714286,0,0.0071428571,2.0785714286,0.3642857143,0.3642857143,0.1142857143,2.6642857143,0.0485714286,0.1375,1.1453846154,2.1785714286,0,0.4285714286,0.3642857143,3.1714285714
10-16,1.075,1.0625,0.3625,0.2,0.1375,0.0625,0.075,1.575,2.425,0.025,0.45,1.2,0.2625,0.1875,1.575,0.2375,1.55,0.2375,0.38,0.32,2.79,0.18,1.1923076923,0.1928571429,3.2285714286,2.9571428571,1.5571428571,0.8285714286,0.05,1.05,0.1142857143,0.0428571429,2.5785714286,0.0071428571,0.0071428571,2.0785714286,0.3928571429,0.3642857143,0.1142857143,3.1285714286,0.0485714286,0.1896428571,1.1453846154,2.4557142857,0.0071428571,0.4571428571,0.3642857143,3.2285714286
10-17,1.0875,1.0625,0.3625,0.225,0.1375,0.075,0.075,1.75,2.4625,0.025,0.475,1.2,0.5,0.3,1.575,0.2375,1.55,0.2375,0.38,0.52,2.86,0.18,1.2,0.1928571429,3.2357142857,2.9571428571,1.5571428571,0.8357142857,0.05,1.25,0.1142857143,0.0428571429,2.5928571429,0.0071428571,0.0071428571,2.0785714286,0.4357142857,0.3642857143,0.1214285714,3.1785714286,0.0485714286,0.2057142857,1.2,2.4885714286,0.0071428571,0.5214285714,0.4357142857,3.2357142857
10-18,1.1375,1.0625,0.3625,0.2375,0.1375,0.0875,0.075,2,2.475,0.025,0.5,1.2,0.5125,0.3,1.575,0.2375,1.55,0.2375,0.8,0.59,3.37,0.18,1.2076923077,0.1928571429,3.7785714286,2.9714285714,1.5714285714,0.85,0.05,1.7642857143,0.1214285714,0.0428571429,2.6428571429,0.0214285714,0.0071428571,2.0785714286,0.4428571429,0.3642857143,0.2714285714,3.2,0.0485714286,0.2375,1.2046153846,2.5085714286,0.0071428571,0.5857142857,0.5,3.7785714286
10-19,1.15,1.075,0.3625,0.2375,0.25,0.0875,0.075,2.1,2.4875,0.0375,0.5,1.2375,0.5125,0.3,1.575,0.2375,1.5625,0.2375,1.1,1.49,3.38,0.18,1.2076923077,0.1928571429,4,2.9714285714,1.5714285714,0.85,0.0714285714,3.0142857143,0.1214285714,0.0428571429,2.6642857143,0.0357142857,0.0071428571,2.2357142857,0.4428571429,0.3642857143,0.6785714286,3.2142857143,0.0657142857,0.2375,1.389,2.7257142857,0.0071428571,0.7428571429,0.5125,4
10-20,1.3375,1.0875,0.375,0.2375,1.2,0.1,0.075,2.2,2.4875,0.0375,0.575,1.2375,0.525,0.3,1.575,0.2375,1.5625,0.2375,2.51,1.55,3.38,0.18,1.2076923077,0.2857142857,4.0214285714,2.9714285714,1.5714285714,0.85,0.0714285714,3.0714285714,0.1214285714,0.0428571429,2.6642857143,0.05,0.0071428571,2.2357142857,0.4428571429,0.3642857143,0.7285714286,3.2142857143,0.0671428571,0.2567857143,1.5575,2.7257142857,0.0071428571,0.85,0.7285714286,4.0214285714
10-21,1.425,1.1,0.375,0.2375,1.2125,0.125,0.075,2.2,2.4875,0.0375,0.6625,1.2375,0.5375,0.3,1.575,0.2375,1.5625,0.2375,6.34,1.55,3.38,0.19,1.2076923077,0.4357142857,4.2714285714,2.9714285714,1.5714285714,0.85,0.0714285714,3.1785714286,0.1214285714,0.0642857143,2.6642857143,0.05,0.0214285714,2.2642857143,0.4428571429,0.3642857143,0.7642857143,3.2142857143,0.07,0.2625,1.5575,3.0128571429,0.0214285714,0.8714285714,0.7642857143,6.34
10-22,1.4375,1.125,0.4,0.9,1.2875,0.1625,0.15,2.2125,2.4875,0.05,0.6625,1.2375,1,0.3,1.825,0.2375,1.6,0.2375,7.68,1.57,3.4,0.19,1.2076923077,0.4571428571,4.3357142857,2.9714285714,1.5785714286,0.8571428571,0.0785714286,3.25,0.1214285714,0.0642857143,3.05,0.0714285714,0.0214285714,2.2785714286,0.4428571429,0.3642857143,0.7642857143,3.2142857143,0.0771428571,0.3257142857,1.5751428571,3.09,0.0214285714,0.9214285714,0.9,7.68
10-23,1.4375,1.35,0.4,1.0625,1.3,0.175,0.1875,2.2125,2.4875,0.1,0.675,1.25,1.1625,0.3,2.1125,0.2375,1.7125,0.2375,7.8,1.57,3.42,0.23,1.2153846154,0.4642857143,4.5428571429,2.9714285714,1.5857142857,0.8571428571,0.0785714286,3.2714285714,0.1214285714,0.0642857143,3.5642857143,0.0714285714,0.0214285714,2.2785714286,1.2142857143,0.3642857143,0.7785714286,3.2857142857,0.0957142857,0.3257142857,1.5794285714,3.3011428571,0.0214285714,0.9571428571,1.1625,7.8
