date,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
11-14,1.9875,7.225,0.675,1.7375,1.85,3.0375,3.4375,3.6375,4.3125,0.2,2.7375,2.2875,4.7625,0.4375,6.5375,1.0625,3.8875,1.825,12.8,2.51,3.7,0.4,2.8615384615,1.4857142857,5.8785714286,4.1357142857,3.0785714286,1.7428571429,0.9,4.75,1.4857142857,0.1,3.6214285714,0.1714285714,1.7357142857,3.3071428571,4.6857142857,0.5214285714,1.6428571429,3.45,0.43,1.68,3.6310714286,4.9857142857,0.1,2.4428571429,2.51,12.8
11-15,1.9875,7.8,1.2375,1.7375,1.85,3.475,3.4375,3.725,4.325,0.2,2.7375,2.3375,4.775,0.4375,6.5375,1.075,3.8875,1.925,12.81,2.51,3.73,0.4,2.8769230769,1.5071428571,5.9142857143,4.1428571429,3.0785714286,1.7571428571,0.9642857143,4.7571428571,1.4857142857,0.1,3.6214285714,0.1714285714,1.75,3.3071428571,4.6857142857,0.5214285714,1.6428571429,3.5785714286,0.43,1.6807142857,3.6835714286,5.0028571429,0.1,2.4642857143,2.51,12.81
11-16,1.9875,7.8375,1.3375,1.7375,1.85,4.0125,3.45,3.75,4.3375,0.2,2.9375,2.375,4.775,0.4375,6.5375,1.075,3.8875,1.95,12.82,2.55,3.75,0.4,2.8769230769,1.5642857143,5.9285714286,4.1428571429,3.0785714286,1.7571428571,1.0285714286,5.1285714286,1.5,0.1,3.6214285714,0.1714285714,1.7642857143,3.3071428571,4.6928571429,0.8785714286,1.7428571429,4.1857142857,0.43,1.7396428571,3.75,5.2885714286,0.1,2.4928571429,2.55,12.82
11-17,1.9875,7.8625,1.375,1.7375,1.85,4.1,3.45,3.7625,4.475,0.2,2.9625,2.4375,4.775,0.4375,6.5375,1.075,3.9,2.075,12.82,2.55,3.75,0.4,2.8846153846,1.5928571429,5.9285714286,4.1428571429,3.2785714286,1.7642857143,1.0357142857,5.4785714286,1.5571428571,0.1,3.6214285714,0.1714285714,1.7714285714,3.3071428571,4.7,1.1571428571,1.7571428571,5.4,0.43,1.7453571429,3.7575,5.5685714286,0.1,2.5357142857,2.55,12.82
11-18,2.025,7.875,1.4625,1.7375,1.85,4.275,3.45,3.7625,4.7875,0.2,3.05,2.4375,4.775,0.475,6.5375,1.075,3.9,2.075,12.82,2.56,3.75,0.4,2.8923076923,1.6071428571,5.9285714286,4.1428571429,3.3928571429,1.7642857143,1.0428571429,5.5071428571,1.6928571429,0.1785714286,3.6214285714,0.1714285714,1.7714285714,3.3214285714,4.7,1.1571428571,1.7857142857,5.6142857143,0.46,1.7482142857,3.7575,5.5914285714,0.1714285714,2.5357142857,2.56,12.82
11-19,2.4125,7.875,1.5875,1.7375,1.8625,4.4375,3.475,3.775,5.6375,0.2,3.05,2.4375,4.775,0.475,6.5875,1.075,3.9,2.1,12.82,2.56,3.75,0.4,2.8923076923,1.6071428571,5.9285714286,4.1571428571,3.4,1.7714285714,1.05,5.5142857143,1.7071428571,0.1785714286,3.6214285714,0.1785714286,1.7785714286,3.3285714286,4.7,1.2071428571,1.8071428571,6.1642857143,0.46,1.7510714286,3.765,5.6957142857,0.1785714286,2.5357142857,2.56,12.82
11-20,2.45,7.875,1.625,1.7375,2.025,4.5,3.575,3.775,5.7875,0.2,3.05,2.4375,4.7875,0.475,6.6,1.075,3.9,2.1125,12.82,2.56,3.75,0.41,2.8923076923,1.6071428571,5.9285714286,4.1571428571,3.4,1.7785714286,1.05,5.5214285714,1.75,0.1785714286,3.6214285714,0.6142857143,1.7857142857,3.3285714286,4.7,1.5571428571,1.85,6.5642857143,0.5864285714,1.7614285714,3.765,5.8157142857,0.1785714286,2.5571428571,2.56,12.82
11-21,2.475,7.925,1.6375,1.7375,2.95,4.55,3.675,3.775,5.85,0.2,3.075,2.4375,4.7875,0.475,6.6,1.075,3.9,2.1125,12.84,2.56,3.75,0.42,2.8923076923,1.6214285714,6.7928571429,4.25,3.4,1.8428571429,1.05,5.5285714286,1.8714285714,0.2,3.6214285714,2.0428571429,1.7857142857,3.3357142857,4.7,1.5571428571,1.8642857143,6.6857142857,0.935,1.8514285714,3.765,6,0.2,2.6785714286,2.8923076923,12.84
11-22,2.5375,7.95,1.65,1.7375,2.95,4.5625,3.6875,3.8125,5.8625,0.2,4.35,2.4375,4.7875,0.8125,6.6,1.075,3.9,2.125,13.54,2.57,3.75,0.45,2.8923076923,1.6285714286,7.6357142857,4.4642857143,3.4,2.4357142857,1.05,5.5285714286,2.5285714286,0.2,3.6285714286,2.3071428571,1.8,3.3357142857,4.7071428571,1.5571428571,1.8642857143,6.7857142857,1.0025,1.9685714286,3.865,6.01,0.2,2.8857142857,2.8923076923,13.54
11-23,2.575,7.95,1.65,1.7375,2.9625,4.5625,3.775,3.8875,5.8875,0.2,5.575,2.4375,4.7875,0.825,6.6,1.0875,3.9,2.2625,13.6,2.57,3.75,0.51,2.8923076923,1.6285714286,7.6357142857,4.4785714286,3.4071428571,2.9,1.0785714286,5.5285714286,2.5357142857,0.2,3.7714285714,2.3285714286,1.8142857143,3.3357142857,4.7142857143,1.5571428571,1.8714285714,6.8642857143,1.0278571429,2.0278571429,3.895,6.03,0.2,2.9928571429,2.9,13.6
11-24,2.5875,7.95,1.725,1.7375,2.9625,4.5875,3.825,3.8875,5.9,0.2,5.675,2.4375,4.7875,0.825,6.6,1.1875,3.9125,2.275,13.62,2.57,3.77,0.52,2.8923076923,1.6285714286,7.9214285714,4.4857142857,3.4142857143,3.4142857143,1.0928571429,5.5357142857,2.5642857143,0.2,3.7857142857,2.35,1.8571428571,3.3428571429,4.7214285714,1.6142857143,1.9428571429,6.9,1.0392857143,2.0757142857,3.9025,6.04,0.2,3.0928571429,2.9625,13.62
11-25,2.6,7.975,1.7625,1.75,2.975,4.6125,3.8625,3.925,5.9,0.2,5.6875,2.4875,4.7875,0.8375,6.6,1.6,3.9625,2.275,13.64,2.58,3.77,0.52,2.9,1.6285714286,7.95,4.4857142857,3.4357142857,3.4357142857,1.0928571429,5.5428571429,2.5642857143,0.2,3.7928571429,2.35,1.8714285714,3.3428571429,4.75,1.8785714286,1.9785714286,6.9,1.0417857143,2.0971428571,3.9475,6.04,0.2,3.1214285714,2.975,13.64
11-26,2.65,8.15,1.8875,1.75,2.9875,4.6125,3.875,3.925,5.925,0.2,5.6875,2.5,4.7875,0.85,6.6,2.2375,3.9625,2.275,13.66,2.58,3.8,0.52,2.9230769231,1.6285714286,7.95,4.4857142857,3.4357142857,3.45,1.0928571429,5.6,2.5642857143,0.2,3.7928571429,2.5571428571,1.8857142857,3.3428571429,4.7571428571,1.8785714286,2.5785714286,6.9,1.0442857143,2.365,3.9475,6.06,0.2,3.1357142857,2.9875,13.66
11-27,2.6625,8.2,1.9125,2.5,3.5375,4.6125,3.875,3.925,6.2875,0.225,5.7125,3.0125,4.7875,0.85,6.6,2.2625,3.9875,2.275,13.69,2.69,3.81,0.52,3.4538461538,1.6357142857,7.9642857143,4.4857142857,3.4357142857,3.45,1.0928571429,5.65,2.6642857143,0.2,3.7928571429,2.5785714286,1.8928571429,3.3428571429,4.7571428571,1.8857142857,3.5642857143,6.9142857143,1.0442857143,2.5314285714,3.9625,6.35,0.2,3.3071428571,3.45,13.69
11-28,2.6875,8.2,1.9125,2.5375,3.6125,4.65,3.875,3.95,6.3625,0.225,5.725,3.5875,4.7875,0.85,6.6,2.2625,3.9875,2.275,14.13,2.7,3.94,0.52,3.7461538462,1.65,8.0285714286,4.4857142857,3.4428571429,3.45,1.0928571429,5.7642857143,2.9214285714,0.3357142857,3.7928571429,3.35,1.9,3.3428571429,4.7571428571,1.8857142857,3.6214285714,6.9142857143,1.0442857143,2.5975,3.9725,6.41,0.225,3.4428571429,3.5875,14.13
11-29,2.6875,8.25,1.925,2.5875,3.625,4.7875,3.875,3.95,6.375,0.225,5.8125,3.6625,5.175,0.85,6.6,2.325,3.9875,2.2875,14.28,2.86,4.19,0.53,3.7692307692,1.8285714286,8.5214285714,4.4857142857,3.4428571429,3.45,1.1,5.7785714286,3.1071428571,0.3428571429,3.9142857143,4.6428571429,1.95,3.3428571429,4.7642857143,1.8857142857,3.6214285714,6.9142857143,1.05,2.6275,4.3674285714,6.42,0.225,3.5928571429,3.625,14.28
11-30,2.6875,8.25,1.925,2.5875,3.625,4.85,3.875,3.9625,6.375,0.225,6.075,3.6875,5.2125,0.85,6.6,2.475,3.9875,2.3,14.32,2.91,4.21,0.58,3.7769230769,1.8357142857,8.5285714286,4.4928571429,3.4428571429,3.45,1.1,5.7785714286,3.1428571429,0.3428571429,4.8857142857,5.7642857143,1.95,3.3428571429,4.7642857143,1.9285714286,3.6214285714,6.9214285714,1.05,2.6275,4.6557142857,6.42,0.225,3.7142857143,3.625,14.32
12-01,2.7,8.25,1.925,2.6,3.625,4.95,3.9,4.075,6.4,0.225,6.1,3.6875,5.2125,0.85,6.6,2.525,4.1375,2.3,14.35,2.91,4.23,1.65,3.7846153846,1.8357142857,8.5714285714,4.5714285714,3.4571428571,3.4571428571,1.1142857143,5.7857142857,3.1428571429,0.3428571429,5.1285714286,5.8071428571,1.9571428571,3.3428571429,4.7642857143,1.95,3.6214285714,6.9785714286,1.5428571429,2.64,4.6871428571,6.44,0.225,3.7642857143,3.625,14.35
12-02,2.7,8.275,1.9375,2.6,3.625,4.9875,3.9375,4.125,6.4125,0.225,6.1375,3.7,5.2125,0.875,6.6,2.6125,4.2,2.3,14.38,3.06,4.25,2.54,3.7846153846,1.8357142857,8.5714285714,5.1,3.4571428571,3.4571428571,1.1142857143,5.8285714286,3.15,0.3428571429,5.3428571429,5.8142857143,1.9642857143,3.3428571429,4.8428571429,2,3.6214285714,6.9785714286,1.6914285714,2.6475,4.9296428571,6.45,0.225,3.8214285714,3.625,14.38
12-03,2.7,8.2875,1.95,2.6,3.6375,4.9875,3.95,4.125,6.425,0.225,6.1625,3.7,5.225,0.9375,6.6,2.625,4.2,2.3,14.38,3.57,4.25,2.58,3.7846153846,1.8357142857,8.6,5.35,3.4785714286,3.4642857143,1.5857142857,5.8285714286,3.15,0.3428571429,5.3642857143,5.8285714286,1.9714285714,3.3428571429,4.9428571429,2.0357142857,3.6214285714,6.9928571429,1.7857142857,2.655,4.9696428571,6.46,0.225,3.8428571429,3.6375,14.38
12-04,2.7,8.3125,1.95,2.6,3.6375,4.9875,3.9625,4.125,6.4625,0.2375,6.175,3.7,5.225,1.025,6.6,2.825,4.2,2.3,14.41,3.59,4.25,2.61,3.7846153846,1.8357142857,8.6071428571,5.3571428571,3.4785714286,4.0714285714,1.7714285714,5.8285714286,3.1571428571,0.35,5.3642857143,5.8428571429,1.9714285714,3.3428571429,4.9785714286,2.0357142857,3.6214285714,7.0285714286,1.8228571429,2.75,4.9839285714,6.49,0.2375,3.9214285714,3.7,14.41
12-05,2.725,8.375,1.95,2.6,3.6375,4.9875,4.0625,4.125,6.4625,0.2375,6.1875,3.7,5.4625,1.025,6.6,3.025,4.2,2.3,14.46,3.59,4.29,2.64,3.7846153846,1.8357142857,8.6142857143,5.5,3.4785714286,4.0928571429,1.9642857143,5.8285714286,3.1571428571,0.3571428571,5.4071428571,6.4142857143,1.9714285714,3.3428571429,4.9785714286,2.0357142857,3.6214285714,7.0357142857,1.9271428571,2.845,4.9839285714,6.49,0.2375,3.9285714286,3.7,14.46
12-06,2.85,8.3875,1.95,2.6,3.6375,4.9875,4.1875,4.125,6.5,0.2375,6.225,3.7375,5.5625,1.0375,6.6,3.05,4.2,2.325,14.53,3.6,4.29,2.64,3.7846153846,1.8571428571,8.7357142857,5.5428571429,3.4785714286,4.0928571429,1.9642857143,5.8285714286,3.1642857143,0.3571428571,5.5071428571,6.75,1.9714285714,3.3428571429,5.0785714286,2.0357142857,3.6214285714,7.0428571429,1.9314285714,2.93,5.0421428571,6.63,0.2375,3.9571428571,3.7375,14.53
12-07,3.1,8.4375,1.95,2.6,3.6375,4.9875,4.225,4.15,6.525,0.25,6.325,3.8625,5.675,1.05,6.6,3.05,4.2,2.3625,14.54,3.6,4.29,2.75,3.7923076923,1.9071428571,9.1,5.5642857143,3.5214285714,4.0928571429,1.9714285714,5.8285714286,3.1642857143,0.3571428571,5.7428571429,6.7928571429,1.9714285714,3.4,5.1785714286,2.0428571429,3.6214285714,7.0428571429,1.9414285714,3.07,5.1021428571,6.6385714286,0.25,3.9928571429,3.7923076923,14.54
12-08,3.1625,8.5375,1.975,2.6,3.6375,5,4.3625,4.15,6.8875,0.2875,6.3375,4.1625,5.7375,1.1125,6.6125,3.05,4.2,2.7,14.74,3.6,4.29,4.36,3.8692307692,3.2785714286,9.1142857143,5.5642857143,3.5285714286,4.5785714286,1.9714285714,5.8285714286,3.1642857143,0.3642857143,5.7785714286,6.9428571429,1.9785714286,3.4214285714,5.4285714286,2.0428571429,3.6214285714,7.0428571429,1.9742857143,3.21,5.2571428571,6.8985714286,0.2875,4.2142857143,4.15,14.74
12-09,3.1875,8.575,1.975,2.6,3.6375,5,4.3875,4.175,6.9,0.3125,6.3625,4.675,5.7625,1.1375,6.7,3.05,4.2,2.8875,14.86,3.63,4.29,4.7,3.9923076923,3.3642857143,9.1285714286,5.5642857143,3.5285714286,4.5785714286,1.9785714286,5.8285714286,3.2142857143,0.3642857143,5.7785714286,7.3214285714,1.9785714286,3.4714285714,5.4357142857,2.05,3.6214285714,7.0428571429,1.9778571429,3.2742857143,5.2614285714,6.9842857143,0.3125,4.2928571429,4.175,14.86
12-10,3.25,8.575,2.0125,2.6,3.6375,5,4.4,4.175,6.9125,0.3375,6.825,4.75,5.8,1.1625,6.725,3.05,4.2125,2.9125,14.9,3.63,4.34,4.72,3.9923076923,3.3857142857,9.15,5.5642857143,3.5285714286,4.5785714286,1.9785714286,5.8285714286,3.2142857143,0.3642857143,5.7857142857,7.3357142857,1.9785714286,4.5071428571,5.4428571429,2.05,3.6357142857,7.05,1.9785714286,3.3042857143,5.2657142857,6.9971428571,0.3375,4.3,4.2125,14.9
12-11,3.25,8.575,2.0125,2.6,3.65,5.05,4.4125,4.175,6.9375,0.35,7.775,4.8,5.8,1.2625,6.7625,3.1625,4.2125,2.925,14.92,3.63,5.03,4.73,4.0076923077,3.3928571429,9.15,5.5714285714,3.5285714286,4.6071428571,1.9857142857,5.8357142857,3.2357142857,0.3642857143,5.7857142857,7.3571428571,1.9785714286,4.5714285714,5.45,2.0857142857,3.6428571429,7.05,1.9842857143,3.3071428571,5.29,7.4407142857,0.35,4.3785714286,4.2125,14.92
12-12,3.25,8.65,2.0125,2.6125,3.6625,5.075,4.725,4.4625,6.9375,0.35,8.0125,4.825,5.8375,1.2875,6.775,3.25,4.2125,2.9375,14.92,3.64,5.06,4.75,4.0076923077,3.5785714286,9.15,5.5714285714,3.5285714286,4.6142857143,2.0428571429,6.2428571429,3.2357142857,0.3642857143,5.7857142857,7.3785714286,1.9785714286,4.5857142857,6.4,2.0857142857,3.65,7.05,2.0057142857,3.3614285714,5.3728571429,7.5053571429,0.35,4.4428571429,4.4625,14.92
12-13,3.275,8.7875,2.0125,2.6125,4.1125,5.0875,5.075,4.9,6.975,0.3875,8.05,4.8875,5.8625,1.3125,7.0375,3.2625,4.2125,2.9375,14.93,3.64,5.08,4.75,4.0076923077,4.4714285714,9.15,6.0357142857,3.5428571429,4.6142857143,2.7214285714,6.2571428571,3.2642857143,0.3642857143,5.7928571429,7.3857142857,2.0928571429,4.5928571429,6.4642857143,2.0857142857,3.6714285714,7.05,2.0710714286,3.3821428571,5.5107142857,7.5185714286,0.3642857143,4.6571428571,4.5928571429,14.93
12-14,3.2875,8.85,2.0125,2.6125,4.4625,5.1125,5.125,4.9,7.3375,0.9,8.0875,4.9,5.875,1.325,7.05,3.35,4.2125,2.9875,14.93,3.64,5.11,4.75,4.2923076923,5.6928571429,9.15,6.1285714286,3.9642857143,4.6642857143,3.1571428571,6.5142857143,3.2642857143,0.3642857143,5.7928571429,7.3928571429,2.1428571429,4.5928571429,6.5071428571,2.0857142857,3.6785714286,7.05,2.0710714286,3.466,5.7528571429,7.5317857143,0.3642857143,4.8928571429,4.6642857143,14.93
12-15,3.3125,8.8625,2.0375,2.6125,4.475,5.125,5.1625,4.925,7.35,1.0375,8.1375,4.95,5.875,1.325,7.0875,3.5125,4.2375,3.1875,14.93,3.64,5.12,4.76,4.3,5.7,9.15,6.1285714286,4.5928571429,4.6642857143,3.1642857143,6.9571428571,3.2714285714,0.3642857143,5.7928571429,7.4214285714,2.1714285714,6.15,6.5285714286,2.0857142857,3.6785714286,7.05,2.0760714286,3.5635,5.8421428571,7.5646428571,0.3642857143,4.9857142857,4.76,14.93
12-16,3.3125,8.925,2.0375,2.6125,4.5125,5.1375,5.175,5.1625,7.3625,1.0625,8.1375,4.95,5.875,1.325,7.0875,3.5875,4.2875,3.275,14.94,3.64,5.16,4.81,5.2230769231,5.7142857143,9.2,6.1285714286,4.9714285714,4.6642857143,3.1785714286,6.9857142857,3.7928571429,0.3642857143,5.7928571429,7.4714285714,2.1857142857,6.3,6.5357142857,2.1,3.6857142857,7.05,2.0875,3.6582857143,5.8421428571,7.6046428571,0.3642857143,5.1714285714,4.9714285714,14.94
12-17,3.325,8.9625,2.0375,2.6125,4.6375,5.1375,5.175,5.225,7.375,1.1625,8.1375,4.95,5.875,1.3375,7.1125,3.775,4.7,3.325,14.94,3.65,5.22,4.87,5.5461538462,5.7214285714,9.2714285714,6.1285714286,5,4.6714285714,3.2142857143,6.9928571429,5.5714285714,0.3642857143,5.7928571429,7.4785714286,2.2,6.3214285714,6.5357142857,2.1,3.6857142857,7.05,2.0875,3.7214285714,5.8421428571,7.6103571429,0.3642857143,5.2285714286,5.1375,14.94
12-18,3.325,9.1875,2.0375,2.6125,4.65,5.1875,5.3375,5.2375,7.375,1.2375,8.1625,4.95,5.875,1.3375,7.125,3.775,5.1875,3.35,14.94,3.65,5.67,4.87,6.2538461538,5.7214285714,9.6214285714,6.15,5.0642857143,4.6785714286,3.3642857143,7.0142857143,5.5928571429,0.3642857143,5.8285714286,7.5214285714,2.3357142857,6.3214285714,6.5357142857,2.1142857143,3.6857142857,7.05,2.0989285714,3.7214285714,6.04,7.6496428571,0.3642857143,5.3214285714,5.1875,14.94
12-19,3.3625,9.2375,2.3625,2.625,4.6625,5.2625,5.6125,5.25,7.375,1.25,8.1625,4.95,5.875,1.3375,7.1375,3.775,5.275,3.3625,14.94,3.73,5.74,4.89,6.5846153846,5.7214285714,10.2714285714,6.2428571429,5.8785714286,4.6857142857,3.3714285714,7.0428571429,5.5928571429,0.3642857143,5.8285714286,7.5214285714,2.3928571429,6.3285714286,6.5357142857,2.1285714286,3.6857142857,7.0571428571,2.3157142857,3.748,6.0971428571,7.6496428571,0.3642857143,5.4,5.275,14.94
12-20,3.425,9.2875,2.6,2.625,5.3,5.6,5.6375,5.2625,7.375,1.2625,8.1625,4.9625,5.95,1.3375,7.15,3.775,5.35,3.3875,14.94,3.75,5.91,5,6.5923076923,5.7214285714,13.0428571429,6.2428571429,5.8785714286,4.8571428571,3.3714285714,7.05,5.6785714286,0.3642857143,5.8357142857,7.5214285714,2.4,6.3357142857,6.55,2.1714285714,3.6857142857,7.0571428571,2.3542857143,3.76,6.1257142857,7.6496428571,0.3642857143,5.4857142857,5.6,14.94
12-21,3.5,9.2875,2.7,2.625,5.6625,5.6125,5.6625,5.275,7.375,1.275,8.1625,4.9625,6.45,1.3375,7.15,3.775,5.525,3.4,14.96,3.78,5.94,5.44,6.6076923077,5.7285714286,16.0285714286,6.2428571429,5.9428571429,4.8928571429,3.4,7.0928571429,5.6785714286,0.6214285714,5.8357142857,7.5357142857,2.4071428571,6.3357142857,6.5571428571,2.2,3.6857142857,7.0571428571,2.3657142857,3.777,6.2985714286,7.6610714286,0.6214285714,5.5857142857,5.6625,16.0285714286
12-22,3.575,9.3375,3.3875,2.625,5.675,5.625,5.6625,5.275,7.4,1.275,8.1875,5.0375,6.4875,1.35,7.15,3.7875,5.65,3.425,14.96,3.78,5.94,5.47,6.6538461538,5.7428571429,18.4142857143,6.2428571429,5.9571428571,4.9357142857,3.4214285714,7.1571428571,5.7642857143,0.6714285714,5.8357142857,7.5714285714,2.4071428571,6.3357142857,6.5571428571,2.2,3.6857142857,7.0571428571,2.3657142857,3.783,6.2985714286,7.6946428571,0.6714285714,5.6285714286,5.6625,18.4142857143
12-23,3.6,9.8,3.575,2.625,5.6875,5.6375,5.6625,5.3,7.4125,1.3125,9.1875,5.075,6.4875,1.375,7.15,3.8375,5.7625,3.4625,14.98,3.78,6.04,5.53,7.2,6.2428571429,20.35,6.2785714286,5.9785714286,4.9428571429,3.4428571429,7.4928571429,6.25,0.7428571429,5.8357142857,7.6142857143,2.4071428571,6.3642857143,6.5642857143,2.4357142857,3.6857142857,7.0642857143,2.43,3.803,6.33,7.9289285714,0.7428571429,5.7785714286,5.6875,20.35
12-24,3.6125,10,3.6625,2.625,5.6875,5.6375,5.6625,5.3,7.4875,1.3125,9.325,5.125,6.4875,1.375,7.15,3.9125,5.7625,3.475,15.01,3.78,6.09,5.55,7.2230769231,6.2642857143,20.5142857143,6.2857142857,6.0071428571,4.95,3.4428571429,7.5571428571,6.4285714286,0.7571428571,5.8428571429,8.0785714286,2.4214285714,8,6.5857142857,2.4428571429,3.6857142857,7.0857142857,2.4385714286,3.833,6.4639285714,8.3278571429,0.7571428571,5.8357142857,5.6875,20.5142857143
12-25,3.6125,10.0375,3.925,2.625,5.6875,5.6625,5.6625,5.3125,8.15,1.3125,9.35,5.2,6.5125,1.375,7.2125,3.9125,5.7625,3.5375,15.04,3.78,6.09,5.58,7.4923076923,6.2642857143,20.55,6.2857142857,6.3285714286,4.9571428571,3.4571428571,7.75,8.2714285714,0.7642857143,5.8428571429,8.7071428571,2.4285714286,9.2714285714,6.5857142857,2.4428571429,3.8928571429,9.5571428571,2.44,3.9175,6.5564285714,9.2871428571,0.7642857143,6.0071428571,5.6875,20.55
12-26,3.6125,10.0375,4.3375,2.625,5.6875,5.6875,5.6625,5.3375,8.65,1.3125,9.35,5.2125,6.5125,1.375,7.2375,3.9125,5.775,4.8125,15.04,3.81,6.14,5.61,9.2615384615,6.2714285714,20.5785714286,6.2857142857,6.3714285714,4.9571428571,3.7214285714,8.0928571429,8.35,0.7714285714,6.3071428571,8.9714285714,2.4357142857,9.4214285714,6.5928571429,2.4428571429,3.9785714286,10.0714285714,2.4414285714,4.5275,6.5607142857,9.3642857143,0.7714285714,6.1428571429,5.6875,20.5785714286
12-27,3.6125,10.05,4.4125,2.65,5.7,5.6875,5.675,5.35,8.65,1.3125,9.35,5.2125,6.5125,1.4125,7.2625,3.9875,5.8,5.3875,15.04,4.01,6.16,5.65,9.3076923077,6.2714285714,20.8785714286,6.2857142857,6.5857142857,4.9571428571,3.7714285714,8.0928571429,8.35,0.7714285714,6.35,9.2,2.4357142857,9.9785714286,6.5928571429,2.4857142857,4.0142857143,10.3714285714,2.4757142857,4.6303571429,6.59,9.4757142857,0.7714285714,6.1714285714,5.7,20.8785714286
12-28,3.6375,10.05,4.4375,2.65,5.7,5.7375,6.1,5.3875,8.65,1.3125,9.625,5.225,6.5125,1.4125,7.2625,3.9875,5.8375,5.525,15.17,4.03,6.58,5.67,9.3384615385,6.2714285714,20.9071428571,6.2857142857,6.6428571429,4.9571428571,3.7714285714,8.1142857143,8.4071428571,0.7714285714,6.4785714286,9.2857142857,2.4857142857,10.2285714286,6.8571428571,2.4857142857,4.05,10.6,2.4857142857,4.6453571429,6.7714285714,9.71,0.7714285714,6.2357142857,5.8375,20.9071428571
12-29,3.6375,10.1875,4.575,2.65,5.7,5.8875,6.7625,5.4,8.7125,1.3625,9.725,5.275,6.5125,1.4125,7.2625,4.0125,5.875,5.6,15.81,4.03,6.73,5.73,9.3769230769,6.3071428571,20.9714285714,6.2857142857,6.6428571429,4.9571428571,3.7785714286,8.1214285714,8.4071428571,0.7714285714,6.4857142857,9.3,3.0357142857,10.45,7.1571428571,2.4857142857,4.05,10.6142857143,2.6171428571,4.7278571429,6.9992857143,9.8175,0.7714285714,6.3428571429,5.8875,20.9714285714
12-30,3.6375,10.3625,4.575,2.65,5.725,6.0375,7.875,5.4125,8.7375,1.3875,9.7875,5.3125,6.5125,1.4125,7.2625,4.175,6.05,5.7,17.66,4.03,6.77,5.76,9.3769230769,6.3642857143,22.2857142857,6.2857142857,6.65,4.9571428571,3.7928571429,8.1214285714,8.4142857143,0.7714285714,6.4928571429,9.3214285714,3.1071428571,10.6571428571,7.2642857143,2.4857142857,4.0571428571,10.6214285714,2.6171428571,4.7278571429,7.2635714286,9.9025,0.7714285714,6.4428571429,6.05,22.2857142857
12-31,3.6375,10.575,4.675,2.65,5.725,6.3,8.3375,5.4125,8.8,1.425,9.7875,5.3125,6.5125,1.4125,7.2625,4.2125,6.075,5.7875,17.86,4.1,6.77,5.76,9.3769230769,6.5642857143,22.4,6.2857142857,6.7142857143,4.9571428571,3.8285714286,8.1714285714,8.45,0.7714285714,6.5285714286,9.3285714286,3.1357142857,11.2214285714,7.4214285714,2.4857142857,4.0571428571,10.6285714286,2.6171428571,4.7878571429,7.3578571429,9.945,0.7714285714,6.4857142857,6.2857142857,22.4
01-01,3.6375,10.675,4.675,2.65,5.725,6.3375,8.3875,5.4125,8.8125,1.5,9.8,5.3125,6.6,1.425,7.2625,4.35,6.1375,5.8125,18.34,4.51,6.77,5.76,9.3769230769,6.5928571429,22.4,6.2857142857,6.7214285714,4.9571428571,3.9571428571,8.1714285714,8.4714285714,0.7714285714,6.65,9.3357142857,3.1428571429,12.0071428571,8.0214285714,2.4857142857,4.0571428571,10.9785714286,2.6171428571,4.7878571429,7.7178571429,9.975,0.7714285714,6.5071428571,6.2857142857,22.4
01-02,3.6375,10.6875,4.6875,2.6875,5.75,6.3625,8.5875,5.4125,8.825,1.5375,9.825,5.3125,6.625,1.5,7.2625,4.375,6.1375,5.9,18.72,4.7,6.77,5.78,9.3846153846,6.6071428571,22.4285714286,6.2857142857,6.7214285714,4.9571428571,3.9857142857,8.1785714286,8.5,0.7714285714,6.6571428571,9.4642857143,3.1428571429,12.0214285714,9.7714285714,2.4857142857,4.0571428571,11.9785714286,2.6471428571,4.8028571429,7.8121428571,9.9975,0.7714285714,6.5214285714,6.2857142857,22.4285714286
01-03,3.65,10.6875,4.7,2.7375,5.75,6.3875,9.05,5.4125,8.825,1.5375,10.05,5.3125,6.6375,1.6875,7.2625,4.375,6.1625,6.325,18.79,5.31,6.79,5.83,9.4153846154,6.6142857143,22.4928571429,6.2857142857,6.7214285714,4.9571428571,4.0357142857,8.2142857143,8.5571428571,0.7714285714,6.6571428571,9.4714285714,3.1428571429,12.0214285714,9.8214285714,2.4928571429,4.0571428571,12.0428571429,2.6885714286,5.0982857143,7.8335714286,10.1775,0.7714285714,6.5428571429,6.325,22.4928571429
01-04,3.65,10.75,4.7375,2.7375,5.9875,6.575,9.075,5.4125,8.9125,1.55,10.85,5.4625,6.6625,1.7375,7.2625,4.3875,6.175,6.7375,19.25,5.46,6.8,5.89,9.4153846154,6.6142857143,22.5357142857,6.2857142857,6.7214285714,4.9642857143,4.0428571429,8.2214285714,8.5857142857,0.7785714286,6.6571428571,9.4714285714,3.15,12.0285714286,9.9285714286,2.9357142857,4.0571428571,12.1,2.8960714286,5.1435714286,7.8378571429,10.77,0.7785714286,6.6071428571,6.575,22.5357142857
