date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
01-09,3.2818181818,9.78,13.35,11.1090909091,14.9583333333,8.6333333333,10.7333333333,10.6583333333,7.1,4.0666666667,9.8833333333,12.025,16.525,7.85,14.35,2.3583333333,6.875,9.5166666667,7.2666666667,1.0833333333,10.35,3.875,6.6833333333,6.1416666667,15.7583333333,2.25,4.0416666667,13.9583333333,11.9785714286,5.6875,9.40625,8.64375,6.5625,6.0125,5.05,12.75625,11.5125,0.08125,8.70625,11.0625,2.0266666667,7.84375,10.5375,4,2.1625,10.075,2.2933333333,6.0383333333,10.6341666667,13.715,0.08125,7.9375,8.6333333333,16.525
01-10,3.2818181818,9.8,13.35,11.1181818182,15.075,8.6333333333,10.7583333333,10.675,7.1166666667,4.0666666667,9.9166666667,12.0333333333,16.6916666667,7.85,14.3916666667,2.3666666667,6.9416666667,9.6583333333,7.2666666667,1.1,10.7916666667,3.875,6.7,6.15,15.8083333333,2.25,4.075,13.9583333333,11.9785714286,5.6875,9.40625,8.64375,6.56875,6.0125,5.05625,12.8,11.63125,0.64375,8.775,11.25625,2.0266666667,7.84375,10.5625,4.1,2.16875,10.1875,2.2966666667,6.04,10.7416666667,13.715,0.64375,7.96875,8.6333333333,16.6916666667
01-11,3.2818181818,9.84,13.35,11.1181818182,15.125,8.6416666667,10.8,10.675,7.1333333333,4.0666666667,9.9333333333,12.0833333333,18.1,7.85,14.425,2.3916666667,6.9583333333,10.1666666667,7.275,1.1166666667,10.8166666667,3.9333333333,6.725,6.15,15.9916666667,2.25,4.125,13.9583333333,12,5.6875,9.40625,8.64375,6.65,6.0125,5.1,12.825,11.63125,0.83125,8.80625,11.2625,2.0266666667,7.84375,10.63125,4.14375,2.18125,10.2375,2.3066666667,6.04,10.775,13.715,0.83125,8.01875,8.6416666667,18.1
01-12,3.4909090909,10.02,13.35,11.1545454545,15.2083333333,8.6416666667,10.8083333333,10.6833333333,7.1583333333,4.0666666667,9.9333333333,12.5333333333,18.5666666667,7.8583333333,14.575,2.3916666667,6.9833333333,10.2333333333,7.2833333333,1.1416666667,10.8833333333,3.9333333333,6.725,6.1833333333,16.4333333333,2.25,4.15,13.9583333333,12.0285714286,5.6875,9.40625,8.65,6.7125,6.0125,5.1625,12.83125,11.6375,0.8375,8.8125,11.28125,2.0266666667,7.84375,10.63125,4.39375,2.18125,10.2625,2.3066666667,6.0466666667,10.7833333333,13.715,0.8375,8.0375,8.6416666667,18.5666666667
01-13,3.8363636364,10.83,13.35,11.1545454545,15.2583333333,8.6416666667,10.8416666667,10.7,7.1666666667,4.1,9.95,12.9166666667,18.8166666667,7.8666666667,14.7666666667,2.4,7.3666666667,10.2833333333,7.2833333333,1.15,11.6833333333,3.9416666667,6.75,6.1916666667,16.4666666667,2.25,4.4416666667,13.9583333333,12.0285714286,5.7,9.4125,8.65,6.75,6.0125,5.425,12.8375,11.6375,0.84375,8.95,11.28125,2.0266666667,7.84375,10.63125,4.56875,2.1875,10.26875,2.31,6.0483333333,10.8393333333,13.715,0.84375,8.08125,8.6416666667,18.8166666667
01-14,3.8636363636,10.92,13.39,11.3,15.4,8.6666666667,10.8666666667,10.7166666667,7.2,4.1166666667,9.9583333333,12.925,19.0333333333,7.8833333333,14.825,2.4,9.6166666667,10.2833333333,7.2833333333,1.1666666667,11.7166666667,3.9416666667,6.75,6.2,16.525,2.25,4.5,13.9583333333,12.0285714286,5.71875,9.4125,8.65,6.7625,6.0125,5.88125,12.8375,11.66875,0.84375,9.21875,11.28125,2.0533333333,7.85625,10.63125,4.65,2.1875,10.30625,2.31,6.05,10.9093333333,13.731,0.84375,8.29375,8.6666666667,19.0333333333
01-15,3.9,11,13.39,11.5545454545,15.4,8.7083333333,10.8916666667,10.7333333333,7.2083333333,4.225,9.9583333333,12.9333333333,19.6166666667,7.9,14.8916666667,2.4,10.8333333333,10.2916666667,7.2833333333,1.2333333333,11.7666666667,3.95,6.7583333333,6.3,16.5333333333,2.2583333333,4.6,13.9583333333,12.0357142857,5.73125,9.4125,8.675,6.7625,6.0125,5.9375,12.85,12.13125,0.84375,9.31875,11.2875,2.1571428571,7.85625,10.81875,4.65,2.2,10.3,2.315,6.07,10.9783333333,13.731,0.84375,8.3875,8.7083333333,19.6166666667
01-16,3.9181818182,11.02,13.4,11.6454545455,15.4166666667,8.7416666667,11.4333333333,10.9333333333,7.2083333333,4.325,9.9666666667,12.9333333333,19.7166666667,7.925,14.9166666667,2.4083333333,11.0666666667,10.3416666667,7.3083333333,1.3083333333,11.9083333333,3.95,6.7583333333,6.4583333333,16.55,2.2666666667,4.6916666667,13.9583333333,12.0428571429,5.73125,9.4125,8.83125,6.80625,6.0125,5.98125,12.94375,12.25,0.84375,9.9125,11.2875,2.0666666667,7.85625,12.0875,4.65,2.21875,10.3,2.3233333333,6.1016666667,11.4041666667,13.735,0.84375,8.5,8.83125,19.7166666667
01-17,4.0090909091,11.06,13.43,11.6636363636,15.4166666667,8.7416666667,11.7166666667,10.9916666667,7.2083333333,4.4,9.9833333333,12.9333333333,20.6916666667,7.925,15.3166666667,2.4333333333,11.1,10.3583333333,7.3083333333,1.3083333333,12.2,3.9916666667,6.7583333333,6.5333333333,16.5583333333,2.2666666667,4.7666666667,13.975,12.0428571429,5.7375,9.4125,9.24375,6.83125,6.0125,6.01875,12.9625,12.34375,0.86875,10.1125,11.49375,2.0666666667,7.85625,13.425,4.6375,2.2625,10.2875,2.3333333333,6.1216666667,11.6296590909,13.757,0.86875,8.59375,9.24375,20.6916666667
01-18,4.0181818182,11.06,13.75,11.7363636364,15.4166666667,8.7416666667,11.8083333333,12.6833333333,7.2333333333,4.5583333333,9.9916666667,12.9333333333,21.4083333333,7.925,15.5833333333,2.6583333333,11.1083333333,10.3666666667,7.3083333333,1.3333333333,12.2916666667,4,6.7666666667,6.5666666667,16.575,2.275,4.775,13.9916666667,12.0428571429,5.74375,9.4125,9.24375,6.8375,6.0125,6.03125,12.9625,12.3875,0.86875,10.29375,11.5,2.0666666667,7.85625,14.3125,4.675,2.2625,10.29375,2.4283333333,6.1383333333,11.7939393939,14.1841666667,0.86875,8.625,9.24375,21.4083333333
01-19,4.0363636364,11.07,13.84,11.7454545455,15.425,8.7416666667,11.825,13.575,7.2333333333,4.7,10.0083333333,12.9333333333,23.025,7.925,15.7416666667,2.725,11.1083333333,10.375,7.325,1.3333333333,12.3,4.0083333333,6.7666666667,6.5666666667,16.5916666667,2.275,4.9083333333,13.9916666667,12.0428571429,6.43125,9.4125,9.2875,6.8375,6.0125,6.04375,12.9625,12.43125,0.86875,10.35,11.5125,2.0666666667,7.88125,14.39375,4.675,2.2625,10.29375,2.455,6.4583333333,11.8090909091,14.2329166667,0.86875,8.73125,9.2875,23.025
01-20,4.0363636364,11.08,14,11.7454545455,15.425,8.8083333333,11.9166666667,13.6833333333,7.25,4.7666666667,10.0333333333,12.9416666667,23.35,7.925,15.7916666667,2.75,11.125,10.3833333333,7.3333333333,1.3333333333,12.3416666667,4.0333333333,6.775,6.6166666667,16.6083333333,2.2916666667,5.25,13.9916666667,12.0428571429,7.8,9.4125,9.29375,6.8375,6.0125,6.04375,12.96875,12.95625,0.89375,10.39375,11.51875,2.3,7.9,14.4125,4.69375,2.26875,10.3,2.48,6.6483333333,11.8824242424,14.2475,0.89375,8.85,9.29375,23.35
01-21,4.0818181818,11.17,14.21,11.7454545455,15.425,8.8083333333,11.9583333333,13.7416666667,7.25,4.775,10.1416666667,13.1166666667,23.4666666667,7.925,15.8083333333,2.75,11.15,10.3916666667,7.3333333333,1.3416666667,12.3416666667,4.0333333333,6.875,6.7166666667,16.6583333333,2.3,5.475,13.9916666667,12.0571428571,8.24375,9.4125,9.3,6.8375,6.0125,6.05,12.96875,14.25625,1.45625,10.4125,11.55,2.3133333333,7.9,14.73125,4.70625,2.26875,10.3,2.488,6.7408333333,11.9157575758,14.54125,1.3416666667,8.90625,9.3,23.4666666667
01-22,4.0818181818,12.21,14.29,11.7454545455,15.425,8.8083333333,11.975,13.7583333333,7.25,4.8083333333,10.2083333333,13.125,23.4916666667,7.925,15.8416666667,2.7583333333,11.1583333333,10.4166666667,7.3833333333,1.3416666667,12.3416666667,4.05,6.9,6.8416666667,16.6666666667,2.3,5.75,13.9916666667,12.0928571429,12.5125,9.4125,9.4,6.85,6.0125,6.1,12.96875,15.35,1.56875,10.425,11.66875,2.3866666667,7.90625,14.74375,4.86875,2.26875,10.3125,2.5353333333,6.8433333333,12.1865714286,15.1075,1.3416666667,9.5,9.4125,23.4916666667
01-23,4.0818181818,12.23,14.31,11.7545454545,15.5583333333,8.8083333333,12.0333333333,13.7666666667,7.2583333333,4.8166666667,10.2333333333,13.125,23.4916666667,7.925,15.8666666667,2.9416666667,11.175,10.45,7.3833333333,1.3416666667,12.4,4.05,6.9,7.0416666667,16.6666666667,2.3,6,13.9916666667,12.3,14.3,9.4125,9.40625,6.85625,6.0125,6.13125,12.96875,15.46875,1.6,10.43125,11.6875,2.5466666667,7.9875,14.85,5.04375,2.26875,10.3125,2.7046666667,6.865,12.286,15.22125,1.3416666667,9.525,9.4125,23.4916666667
01-24,4.0818181818,12.23,14.31,11.7545454545,15.85,8.8083333333,12.0416666667,13.7833333333,7.3083333333,4.8416666667,10.2416666667,13.125,23.4916666667,7.925,15.9333333333,2.975,11.2083333333,10.4583333333,7.3833333333,1.3416666667,12.4083333333,4.1333333333,6.925,7.1,16.6916666667,2.3,6.125,14.025,12.4142857143,14.65625,9.4125,9.525,6.9,6.0125,6.15,12.96875,16.125,1.625,10.45625,11.69375,2.96,8,15.1,5.43125,2.26875,10.3875,2.966,6.905,12.3726666667,15.55,1.3416666667,9.54375,9.525,23.4916666667
01-25,4.0909090909,12.26,14.37,11.7545454545,15.8666666667,8.8083333333,12.0416666667,13.7916666667,7.5,4.8416666667,10.25,13.125,23.4916666667,7.925,15.9416666667,3.0333333333,11.2083333333,10.475,7.3833333333,1.3416666667,12.425,4.1583333333,6.925,7.2333333333,16.725,2.4083333333,6.125,14.3,12.5,14.675,9.4125,9.59375,6.975,6.03125,6.1625,12.96875,16.5375,1.65625,10.45625,11.7125,3.62,8.01875,15.1,5.45625,2.26875,10.5625,3.268,6.935,12.392,15.56,1.3416666667,9.575,9.59375,23.4916666667
01-26,4.1,12.28,14.4,11.7636363636,16.2,8.8083333333,12.0666666667,13.8333333333,7.5583333333,4.85,10.2583333333,13.125,23.4916666667,8.2666666667,16.3583333333,3.0583333333,11.2666666667,10.475,7.4333333333,1.3666666667,12.4416666667,4.1916666667,6.925,7.6,16.75,2.5416666667,6.125,14.35,12.5142857143,14.71875,9.4125,9.60625,7.125,6.03125,6.18125,12.96875,16.75,1.6625,10.48125,11.725,4.8733333333,8.025,15.10625,5.725,2.26875,10.5875,3.475,6.965,12.4093333333,15.7625,1.3666666667,9.6375,9.60625,23.4916666667
01-27,4.1,12.29,14.46,11.7636363636,16.55,8.8083333333,12.125,13.85,7.825,4.8583333333,10.275,13.125,23.4916666667,8.375,17.225,3.0583333333,11.9916666667,10.4916666667,7.55,1.425,12.5,4.2083333333,6.9333333333,7.6916666667,17.2,2.575,6.125,14.4,12.6428571429,14.7375,9.4125,9.60625,8.96875,6.03125,6.225,12.975,16.85625,1.6625,10.48125,11.7625,5.54,8.025,15.10625,5.75625,2.26875,10.59375,3.475,7.0566666667,12.458,15.9725,1.425,9.83125,9.60625,23.4916666667
01-28,4.1,12.3,14.93,11.7636363636,16.925,8.8083333333,12.15,13.85,8.025,4.8583333333,10.2833333333,13.125,23.4916666667,8.4166666667,17.3583333333,3.0833333333,12.15,10.4916666667,7.5916666667,1.4333333333,13.1416666667,4.2416666667,6.9333333333,7.7416666667,17.6833333333,2.575,6.1333333333,16.6916666667,12.6928571429,15.175,9.425,9.60625,9.7125,6.03125,6.25,12.975,16.99375,1.66875,10.4875,11.76875,5.62,8.025,15.1125,5.8,2.34375,10.6125,3.49,7.065,12.6142857143,16.8316666667,1.4333333333,9.99375,9.7125,23.4916666667
01-29,4.2363636364,12.46,15.17,11.7636363636,17.3583333333,8.8083333333,12.175,13.85,8.0583333333,4.8583333333,10.2916666667,13.125,23.5,8.6833333333,17.4166666667,3.0833333333,12.1916666667,10.4916666667,7.6083333333,1.4333333333,13.2666666667,4.2416666667,6.9333333333,7.75,17.75,2.575,6.1666666667,17.8416666667,12.7357142857,15.2875,9.425,9.60625,10.55,6.03125,6.26875,12.975,17.00625,1.68125,10.55625,11.775,5.6466666667,8.0375,15.11875,5.83125,2.36875,10.6125,3.5445454545,7.0683333333,12.6805714286,17.2175,1.4333333333,10.1375,10.2916666667,23.5
01-30,4.3,12.59,15.93,11.7636363636,17.6333333333,8.8083333333,12.175,13.8583333333,8.075,4.8666666667,10.35,13.125,23.825,8.7083333333,17.4916666667,3.1,12.225,10.4916666667,7.6083333333,1.4333333333,13.3416666667,4.275,6.9333333333,7.7583333333,18.2166666667,2.6,6.1833333333,18.0583333333,12.7428571429,15.3,9.43125,9.6125,10.74375,6.05,6.6625,12.98125,17.06875,1.6875,10.56875,11.775,5.8533333333,8.075,15.11875,5.83125,2.44375,10.625,3.57,7.0683333333,12.7122857143,17.3225,1.4333333333,10.18125,10.35,23.825
01-31,4.3909090909,12.63,16.16,11.8727272727,18.2083333333,8.925,12.6583333333,13.8583333333,8.225,4.9,10.3916666667,13.125,23.9416666667,8.725,17.5416666667,3.15,12.25,10.5,7.625,1.4333333333,13.4,4.3916666667,6.9416666667,7.775,18.3333333333,2.6,6.4416666667,18.2166666667,12.75,15.30625,9.4375,9.6125,10.79375,6.06875,7.95625,13.00625,17.08125,1.7,10.56875,11.775,5.8533333333,8.0875,15.14375,5.84375,2.4625,10.625,3.6463636364,7.655,12.7316666667,17.3575,1.4333333333,10.2375,10.3916666667,23.9416666667
02-01,4.4272727273,12.64,16.29,11.9636363636,18.3583333333,9.05,12.775,13.8833333333,8.2666666667,5.1666666667,10.4083333333,13.125,24.05,8.75,17.6166666667,3.3,12.2666666667,10.5166666667,7.6416666667,1.4416666667,13.4166666667,4.4416666667,6.9416666667,7.8,18.3583333333,2.6,6.775,18.3,12.75,15.30625,9.525,9.6125,10.8,6.2125,8.05,13.36875,17.08125,1.71875,10.575,11.78125,5.925,8.11875,15.14375,5.8875,2.48125,10.625,3.7509090909,7.6733333333,12.77,17.4025,1.4416666667,10.30625,10.4083333333,24.05
02-02,4.4272727273,12.65,16.42,11.9636363636,18.375,9.1166666667,12.825,14.0916666667,8.2916666667,6.025,10.4083333333,13.175,24.125,8.7666666667,17.6333333333,3.95,12.2833333333,10.5166666667,7.6416666667,1.4416666667,13.425,4.55,6.9416666667,7.8083333333,18.375,2.6,7.1583333333,18.3,12.7571428571,15.30625,9.6125,9.6125,10.8125,6.2375,8.10625,13.9375,17.0875,1.73125,10.7625,11.78125,5.9066666667,8.13125,15.14375,6.08125,2.5125,10.63125,4.1409090909,7.675,12.8114285714,17.415,1.4416666667,10.36875,10.4083333333,24.125
02-03,4.4363636364,12.66,16.74,11.9636363636,18.4833333333,9.1583333333,12.9,15.5,8.3166666667,6.2,10.4083333333,13.1833333333,24.125,8.775,17.6583333333,4.1083333333,12.3,10.5166666667,7.65,1.4416666667,13.4666666667,4.55,6.9416666667,8.075,18.4083333333,2.6,7.2416666667,18.3083333333,12.7642857143,15.31875,9.68125,9.625,10.81875,6.28125,8.14375,14.1375,17.09375,1.7375,10.925,11.78125,5.9133333333,8.18125,15.15,7.03125,2.51875,10.63125,4.2395454545,7.735,12.8728571429,17.4325,1.4416666667,10.4,10.4083333333,24.125
02-04,4.4363636364,12.66,17.53,11.9636363636,18.9333333333,9.4333333333,12.925,15.675,8.3416666667,6.225,10.4083333333,13.1833333333,24.125,8.7916666667,17.675,4.1333333333,12.3,10.65,7.6666666667,1.4416666667,13.4833333333,4.55,6.9416666667,8.375,18.4416666667,2.6,7.3666666667,19.3833333333,12.7785714286,15.3875,9.6875,9.63125,10.84375,6.2875,8.15625,14.19375,17.1,1.74375,11.84375,11.83125,5.9133333333,8.19375,15.15,7.18125,2.51875,10.63125,4.2545454545,7.7645833333,12.8957142857,17.617,1.4416666667,10.50625,10.4083333333,24.125
02-05,4.4363636364,12.73,18.16,11.9636363636,19.5583333333,9.7,12.975,15.8166666667,9.0416666667,6.25,10.4083333333,13.1916666667,24.125,9,17.725,4.1666666667,12.3083333333,11.5,8.125,1.45,13.4833333333,4.55,6.95,8.7333333333,18.55,2.6083333333,7.4416666667,20.3083333333,12.7785714286,15.4,9.725,9.64375,10.85,6.30625,8.15625,14.2375,17.1,1.74375,12.09375,11.85,5.9133333333,8.19375,15.15,7.24375,2.525,10.63125,4.2745454545,8.13125,12.9357142857,17.986,1.45,10.675,10.4083333333,24.125
02-06,4.4363636364,12.75,18.3,12.0090909091,19.6833333333,9.725,12.9833333333,15.8416666667,9.7833333333,6.3,10.4083333333,13.1916666667,24.125,9.0333333333,17.7333333333,4.2083333333,12.3083333333,11.575,8.3666666667,1.4583333333,13.4916666667,4.55,6.95,8.825,18.6,2.6083333333,7.4583333333,20.4,12.8285714286,15.425,9.725,9.64375,10.85,6.34375,8.15625,14.26875,17.1125,1.74375,12.8375,11.8875,5.9133333333,8.25625,15.15,7.2875,2.525,10.63125,4.2995454545,8.17625,12.9541666667,18.0733333333,1.4583333333,10.7125,10.4083333333,24.125
02-07,4.4363636364,12.78,18.51,12.0090909091,19.7583333333,10.2,13.025,15.8666666667,9.8416666667,6.325,10.425,13.225,24.125,9.0666666667,17.7416666667,4.2166666667,12.325,11.6583333333,8.4333333333,1.4666666667,13.5083333333,4.55,6.95,8.825,18.6916666667,2.6083333333,7.475,20.4083333333,12.8285714286,15.7875,9.725,9.64375,10.85625,6.45,8.16875,14.28125,17.11875,1.75625,13.1875,11.9625,5.9133333333,8.29375,15.15,8.18125,2.53125,10.63125,4.3045454545,8.20375,13.155,18.2026666667,1.4666666667,10.75,10.425,24.125
02-08,4.4363636364,12.88,18.72,12.0090909091,19.7583333333,10.3,13.0416666667,15.8833333333,9.8916666667,6.375,10.525,13.6333333333,24.1583333333,9.9583333333,17.7583333333,4.2333333333,12.3916666667,11.7916666667,8.4666666667,1.475,13.65,4.55,6.975,8.8416666667,19.1416666667,2.6083333333,7.475,20.4083333333,12.8357142857,16.43125,9.73125,9.64375,10.8625,6.51875,8.175,14.28125,17.125,1.75625,13.30625,11.9625,5.92,8.29375,15.15,9.31875,2.53125,10.63125,4.3145454545,8.3283333333,13.2533333333,18.3353333333,1.475,10.85625,10.525,24.1583333333
02-09,4.9454545455,13.23,19.29,12.0090909091,19.775,10.9,13.05,15.9166666667,9.9333333333,6.4916666667,10.5416666667,13.7083333333,25.3833333333,11.6,17.7833333333,4.25,12.4,12.3083333333,8.475,1.4916666667,14.0166666667,4.55,7.175,8.8583333333,19.175,2.6083333333,7.4916666667,20.4083333333,13.5428571429,16.45625,9.73125,9.64375,10.88125,6.53125,8.18125,14.28125,17.1375,1.75625,13.35625,11.96875,5.92,8.35625,15.15,10.11875,2.53125,10.63125,4.37,8.38,13.5055357143,18.6183333333,1.4916666667,11.1125,10.9,25.3833333333
02-10,5.3090909091,13.48,19.43,12.0090909091,19.9,11.2083333333,13.0583333333,15.9416666667,9.9583333333,6.5,10.5416666667,13.7333333333,26.2416666667,11.65,17.7833333333,4.2666666667,12.4,12.7666666667,8.5166666667,1.4916666667,14.0583333333,4.55,7.175,8.8916666667,19.3083333333,2.6166666667,7.5333333333,20.4083333333,14.8857142857,16.4875,9.73125,9.64375,11.41875,6.54375,8.1875,14.28125,17.15,1.80625,13.41875,11.96875,5.92,8.35625,15.15,10.29375,2.53125,10.6375,4.38,8.3883333333,13.6826666667,18.6983333333,1.4916666667,11.24375,11.41875,26.2416666667
02-11,5.4363636364,14.79,19.45,12.0090909091,19.9166666667,11.2666666667,13.075,15.95,9.9583333333,6.5416666667,10.5416666667,14.325,26.3916666667,11.6666666667,17.7833333333,4.2666666667,12.4083333333,12.85,8.5833333333,1.4916666667,14.1,4.55,7.275,8.8916666667,19.7333333333,2.6166666667,7.5416666667,20.4083333333,15.3285714286,16.525,9.73125,9.64375,11.58125,6.54375,8.1875,14.28125,17.15,1.81875,13.44375,12.15,5.9266666667,8.3625,15.15,10.4375,2.5375,10.65,4.38,8.4066666667,14.245,18.7833333333,1.4916666667,11.325,11.58125,26.3916666667
02-12,5.4636363636,15.12,19.46,12.0090909091,19.9166666667,11.3,13.1166666667,15.9583333333,9.9916666667,6.55,10.5833333333,14.5666666667,26.4833333333,11.6666666667,17.8,4.275,12.4166666667,12.9166666667,8.6,1.4916666667,14.1,4.6,7.3916666667,8.8916666667,21.3166666667,2.6166666667,7.6666666667,20.4083333333,15.4214285714,16.54375,9.73125,9.65,11.80625,6.54375,8.1875,14.28125,17.175,1.85625,13.55,12.35,5.9266666667,8.375,15.1625,10.46875,2.5375,10.65,4.405,8.42,14.245,18.796,1.4916666667,11.425,11.6666666667,26.4833333333
02-13,5.5454545455,15.14,19.5,12.0181818182,19.9166666667,11.3333333333,13.1166666667,15.9583333333,9.9916666667,6.575,10.6416666667,14.7666666667,26.4833333333,11.675,17.825,4.3,12.4583333333,12.9166666667,8.6416666667,1.525,14.1083333333,4.6166666667,7.6666666667,8.8916666667,22.2083333333,2.6166666667,7.7,20.4083333333,15.4214285714,16.55,9.7375,9.8,11.84375,6.56875,8.1875,14.28125,17.3875,2.225,13.65625,12.3875,5.9333333333,8.38125,15.175,10.5125,2.55,10.65625,4.4266666667,8.4333333333,14.2466666667,18.83,1.525,11.475,11.675,26.4833333333
02-14,5.5545454545,15.16,19.61,12.0545454545,19.9166666667,11.35,13.1583333333,15.9666666667,9.9916666667,6.6083333333,10.65,16.2,26.5083333333,11.6833333333,18.3083333333,4.3166666667,12.5833333333,12.925,8.6583333333,1.5333333333,14.7333333333,4.6166666667,9.175,8.9083333333,22.275,2.6166666667,8.0833333333,20.4083333333,15.4357142857,16.55625,9.7375,9.825,11.85625,6.575,8.19375,14.28125,17.44375,2.425,13.75625,12.40625,6.2133333333,8.3875,15.31875,10.525,2.7875,11.06875,4.4366666667,8.7083333333,14.6429166667,19.0893333333,1.5333333333,11.54375,11.6833333333,26.5083333333
02-15,5.5636363636,15.19,19.67,12.1181818182,19.9166666667,11.3916666667,13.1666666667,15.9666666667,9.9916666667,7.1083333333,10.6666666667,16.25,27.0416666667,11.6833333333,20.15,4.3333333333,12.6416666667,13.1333333333,8.6583333333,1.55,14.9916666667,4.6166666667,9.3583333333,9,22.35,2.625,8.15,20.4916666667,15.4428571429,16.55625,9.74375,10.25625,11.85625,6.6,8.2,14.28125,17.475,2.9,15.31875,12.41875,6.3,8.3875,16.5375,10.525,3.60625,11.11875,4.4466666667,8.7266666667,15.1503333333,19.818,1.55,11.61875,11.6833333333,27.0416666667
02-16,5.5636363636,15.22,19.78,12.1272727273,19.9166666667,12.475,13.175,15.9833333333,9.9916666667,7.15,10.6666666667,16.6916666667,27.5,11.7083333333,20.8416666667,4.3416666667,12.6666666667,14.1166666667,8.6583333333,1.5583333333,15.0166666667,4.7333333333,9.3833333333,9.0083333333,22.4916666667,2.625,8.2666666667,21.1666666667,15.5214285714,16.55625,9.75625,10.30625,11.85625,6.60625,8.2,14.28125,17.5125,3.10625,15.4125,12.41875,6.32,8.3875,16.68125,10.53125,3.625,11.13125,4.4983333333,8.7283333333,15.1793333333,19.862,1.5583333333,11.70625,11.85625,27.5
02-17,5.5636363636,15.26,19.78,12.1363636364,19.9166666667,12.5583333333,13.2083333333,15.9833333333,9.9916666667,7.1916666667,10.6833333333,16.8666666667,27.5833333333,11.725,20.9666666667,4.35,12.675,14.2916666667,8.6666666667,1.575,15.05,4.7416666667,9.425,9.025,22.55,2.625,8.3166666667,21.2333333333,15.5357142857,16.55625,9.75625,10.4,11.85625,6.60625,8.2,14.3,17.53125,3.15625,15.5125,12.43125,6.575,8.525,16.7,10.53125,3.6375,11.275,4.5066666667,8.7383333333,15.218,19.862,1.575,11.7375,11.85625,27.5833333333
02-18,5.5636363636,15.39,19.78,12.1545454545,19.9166666667,12.575,13.25,16.025,9.9916666667,7.2833333333,11.05,16.875,27.625,12.0333333333,21.05,4.3666666667,12.6916666667,14.5,8.6916666667,1.625,15.0916666667,4.7416666667,9.4333333333,9.0583333333,22.7083333333,2.6416666667,8.3166666667,21.2333333333,15.7785714286,16.5625,9.76875,10.4,11.8625,6.61875,8.2,14.31875,17.5625,3.18125,15.70625,12.43125,6.66875,8.525,16.7,10.53125,3.65,11.88125,4.5166666667,8.765,15.3303333333,19.862,1.625,11.79375,12.0333333333,27.625
02-19,5.5636363636,15.52,19.78,12.1636363636,19.9166666667,12.5833333333,13.3083333333,16.05,10,7.775,11.0583333333,16.875,28.0416666667,12.6333333333,21.1166666667,4.3666666667,12.7,14.6166666667,8.7,1.6833333333,15.0916666667,4.75,9.4416666667,9.0583333333,23.5166666667,2.6416666667,8.325,21.2333333333,15.8214285714,16.56875,9.8375,10.40625,11.8625,6.61875,8.2125,14.31875,17.9125,3.21875,16.1875,12.4875,6.6875,8.55,16.75,10.53125,3.65,12.525,4.52,8.7716666667,15.4343333333,19.862,1.6833333333,11.89375,12.1636363636,28.0416666667
02-20,5.5636363636,15.54,19.78,12.1727272727,20.0833333333,12.5916666667,13.45,16.0583333333,10,8.3,11.075,16.8833333333,30.225,13.025,21.1666666667,4.4,12.7,14.7166666667,8.7083333333,1.6916666667,15.1083333333,4.75,9.4416666667,9.0583333333,24.425,2.6416666667,8.55,21.2416666667,15.8642857143,16.59375,11.2125,10.46875,11.88125,6.61875,8.23125,14.31875,18.325,3.675,16.46875,12.4875,6.7125,8.575,16.76875,10.53125,3.65,12.75625,4.54,8.7783333333,15.4536666667,19.962,1.6916666667,11.99375,12.1727272727,30.225
02-21,5.5818181818,15.57,19.78,12.1727272727,20.25,12.5916666667,13.5583333333,16.0833333333,10.0166666667,8.3666666667,11.075,16.9166666667,30.925,13.075,21.1916666667,4.4166666667,12.7,14.8916666667,8.7083333333,1.7333333333,15.1083333333,4.7916666667,9.4583333333,9.1083333333,24.8,2.6416666667,8.5666666667,21.6416666667,15.8785714286,16.9375,11.675,10.49375,12.45,6.61875,8.2375,14.31875,18.36875,3.75,16.65625,12.51875,6.725,8.5875,16.7875,10.5375,3.65625,13.06875,4.5666666667,8.7883333333,15.4776666667,20.062,1.7333333333,12.2,12.45,30.925
02-22,5.5818181818,15.57,19.78,12.1727272727,20.625,12.5916666667,13.5916666667,16.1,10.025,8.4,11.0833333333,16.9166666667,31.1333333333,13.0916666667,21.2666666667,4.4333333333,12.7,14.9583333333,8.7083333333,2.0083333333,15.1083333333,4.8,9.4583333333,9.1416666667,25.125,2.6416666667,8.7166666667,22,15.8928571429,17.45625,11.74375,10.50625,12.51875,6.61875,8.24375,14.31875,18.36875,3.83125,18.14375,12.5625,6.725,8.6,17.04375,10.54375,3.6625,13.11875,4.58,8.8016666667,15.4776666667,20.287,2.0083333333,12.25625,12.51875,31.1333333333
