date,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
10-11,1.1939393939,1.0848484848,1.6261904762,0.9785714286,0.0183673469,0.3214285714,0.4717171717,0.949,0.0445544554,0.2366336634,1.3712871287,1.4432692308,0.6723809524,0.7895238095,1.2038095238,1.2710280374,0.1861111111,0.5229357798,0.5063063063,1.2196428571,0.4640350877,0.394017094,1.2728813559,2.1974576271,1.2208333333,0.7842975207,0.9055555556,1.2465116279,2.1496183206,0.0709923664,1.2160305344,0.4954198473,0.5740458015,0.6488549618,0.8839694656,2.3801526718,0.2,0.0381679389,1.2007633588,0.627480916,0.6992366412,0.0276923077,1.0557251908,0.0825042409,0.498685785,1.2028956743,1.4360710206,0.0183673469,0.723255814,0.7869106651,2.3801526718
10-12,1.2893939394,1.3378787879,1.7571428571,1.3020408163,0.0265306122,0.3275510204,0.4757575758,0.966,0.0475247525,0.2455445545,1.5306930693,1.4538461538,0.6847619048,0.7971428571,1.5361904762,1.2775700935,0.1861111111,0.9431192661,0.6855855856,1.2339285714,0.4710526316,0.4008547009,1.3237288136,2.2076271186,1.2225,1.1537190083,1.0119047619,1.2728682171,2.2763358779,0.1061068702,1.3877862595,0.5229007634,0.5748091603,0.7419847328,0.8923664122,2.672519084,0.2290076336,0.1870229008,1.2740458015,0.6320610687,0.9526717557,0.03,1.7786259542,0.1862022901,0.5384732824,1.2765128059,1.5356407355,0.0265306122,0.8162790698,0.9478955109,2.672519084
10-13,1.3363636364,1.453030303,1.880952381,1.3806122449,0.1112244898,0.4346938776,0.4757575758,0.979,0.0514851485,0.2455445545,1.6415841584,1.475,0.7514285714,0.8019047619,1.7704761905,1.2841121495,0.187962963,1.0275229358,0.7576576577,1.24375,0.4798245614,0.4632478632,1.3559322034,2.2169491525,1.24,1.2165289256,1.0531746032,1.3100775194,2.2900763359,0.4519083969,1.4374045802,0.7374045802,0.5763358779,0.7496183206,0.8938931298,2.693129771,0.2473282443,0.2083969466,1.7091603053,0.634351145,1.2671755725,0.0307692308,1.9908396947,0.2121117074,0.593740458,1.3284778013,1.764344602,0.0307692308,0.8728682171,1.0032614679,2.693129771
10-14,1.4712121212,1.7,2.05,1.4163265306,0.4673469388,0.4418367347,0.4828282828,1.006,0.0524752475,0.2514851485,1.702970297,1.4932692308,0.7638095238,0.8276190476,1.820952381,1.2971962617,0.1888888889,1.1330275229,0.8423423423,1.2482142857,0.4833333333,0.5324786325,1.3805084746,2.236440678,1.31,1.2504132231,1.2452380952,1.319379845,2.3053435115,0.6022900763,1.6083969466,0.7679389313,0.579389313,0.7709923664,0.9,2.7618320611,0.2595419847,0.2221374046,1.7900763359,0.6396946565,1.2977099237,0.0338461538,2.4190839695,0.2522908321,0.6135114504,1.3621698857,1.8178647764,0.0338461538,0.9348837209,1.0695137615,2.7618320611
10-15,1.7272727273,1.846969697,2.0833333333,1.4469387755,0.687755102,0.4551020408,0.5101010101,1.041,0.0534653465,0.2574257426,1.8782178218,1.8355769231,0.7752380952,0.8695238095,1.8552380952,1.3018691589,0.1898148148,1.1770642202,0.9063063063,1.25,0.4964912281,0.5661016949,1.4076271186,2.5093220339,1.5116666667,1.2834710744,1.5325396825,1.3263565891,2.3145038168,0.6122137405,1.841221374,0.8145038168,0.5854961832,0.8045801527,0.9190839695,2.806870229,0.2610687023,0.2290076336,1.9419847328,0.6435114504,1.3083969466,0.0469230769,2.6977099237,0.2577900385,0.6567845459,1.4922482993,1.9356080417,0.0469230769,1.0007751938,1.1090321101,2.806870229
10-16,1.7803030303,2.0787878788,2.1154761905,1.4612244898,0.7520408163,0.4612244898,0.6868686869,1.089,0.0574257426,0.2653465347,2.0831683168,2.2798076923,0.7819047619,0.8876190476,1.8752380952,1.3663551402,0.2055555556,1.1917431193,0.9144144144,1.2544642857,0.5114035088,0.5847457627,1.4313559322,2.5576271186,1.5216666667,1.2966942149,1.5579365079,1.3286821705,2.3305343511,0.6297709924,1.8877862595,0.8312977099,0.5908396947,0.8519083969,0.9290076336,2.865648855,0.2717557252,0.2328244275,1.9816793893,0.6480916031,1.3244274809,0.0546153846,2.8244274809,0.2659874537,0.7064203257,1.5035340136,2.1122454031,0.0546153846,1.023255814,1.1403715596,2.865648855
10-17,1.8151515152,2.3393939394,2.1285714286,1.4785714286,0.7704081633,0.4704081633,0.8696969697,1.272,0.0613861386,0.2772277228,2.2386138614,2.4836538462,0.7838095238,1.0828571429,1.8828571429,1.6,0.2333333333,1.2055045872,0.9378378378,1.25625,0.5166666667,0.5957627119,1.4457627119,2.806779661,1.6391666667,1.3066115702,1.5650793651,1.3348837209,2.3946564885,0.7816793893,1.9083969466,0.8320610687,0.6061068702,0.9854961832,0.9320610687,2.9427480916,0.2816793893,0.2496183206,2.0236641221,0.6732824427,1.3297709924,0.1292307692,2.9908396947,0.2776728894,0.7823184297,1.5895238095,2.3293159316,0.0613861386,1.0751937984,1.2308772936,2.9427480916
10-18,1.8484848485,2.9257575758,2.1404761905,1.5469387755,0.7795918367,0.4826530612,0.895959596,1.306,0.0643564356,0.2772277228,2.5544554455,2.7836538462,0.7857142857,1.1066666667,1.8876190476,1.6672897196,0.25,1.2183486239,0.9558558559,1.2625,0.5245614035,0.6669491525,1.4533898305,3.2762711864,1.9958333333,1.3107438017,1.580952381,1.3728682171,2.5480916031,0.7977099237,1.9847328244,0.8458015267,0.6877862595,1.1404580153,0.9427480916,3.0534351145,0.3190839695,0.2519083969,2.0458015267,0.6763358779,1.3312977099,0.4584615385,3.0145038168,0.3330217264,0.7893129771,1.641388518,2.5538190613,0.0643564356,1.1348837209,1.2404243119,3.2762711864
10-19,1.9136363636,3.146969697,2.15,1.6775510204,0.7857142857,0.4959183673,0.902020202,1.474,0.0683168317,0.2772277228,2.7277227723,2.9067307692,0.7923809524,1.1828571429,1.8885714286,1.6934579439,0.262962963,1.223853211,0.9585585586,1.2642857143,0.5254385965,0.9805084746,1.6347457627,3.3237288136,2.0891666667,1.3165289256,1.6007936508,1.496124031,2.5564885496,0.8122137405,2.0183206107,0.8526717557,0.886259542,1.2091603053,0.9488549618,3.106870229,0.4259541985,0.2618320611,2.186259542,0.6801526718,1.3328244275,0.9230769231,3.0251908397,0.4329506154,0.89098774,1.6886858669,2.71059935,0.0683168317,1.207751938,1.2440694626,3.3237288136
10-20,1.9484848485,3.2712121212,2.1583333333,1.912244898,0.7989795918,0.5244897959,0.9121212121,2.077,0.0732673267,0.2801980198,2.7524752475,2.9269230769,0.7980952381,1.5133333333,1.8933333333,1.7168224299,0.2703703704,1.2266055046,0.9612612613,1.2642857143,0.5271929825,1.2983050847,1.8279661017,3.4525423729,2.2158333333,1.3280991736,1.630952381,1.5085271318,2.5748091603,0.8358778626,2.0442748092,0.8664122137,1.1648854962,1.2221374046,0.965648855,3.1198473282,0.6442748092,0.2702290076,2.3702290076,0.6847328244,1.3328244275,1.0738461538,3.0709923664,0.5247601146,0.9268632269,1.9065714286,2.7347086388,0.0732673267,1.2992248062,1.3132021291,3.4525423729
