date,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-21,0.8125,0,0,0,0.1,0,0,0.05,0.2,0,0.05,0.0875,0.05,0,0.25,0,0,0,1.77,0,0.22,0,0,0.0571428571,0.0142857143,0,0.0071428571,0.15,0,0,0,0,0.1285714286,0,0,0.1428571429,0,0,0.0642857143,0.0428571429,0,0,0.0542857143,0.204,0,0,0,1.77,
10-22,0.75,0,0,0.1375,0.075,0.0625,0,0.05,0.175,0,0.0875,0.0875,0.275,0,0.275,0,0,0,2.43,0,0.21,0,0,0.0571428571,0.0142857143,0,0,0.1428571429,0,0,0,0,0.1642857143,0,0,0.1428571429,0,0,0.0214285714,0,0,0,0.0825,0.223,0,0,0,2.43,
10-23,0.7,0.075,0,0.175,0.0625,0,0,0.05,0.175,0,0.075,0.0875,0.175,0,0.3875,0,0.0125,0,2.37,0,0.19,0,0,0.0428571429,0.0285714286,0,0,0.1428571429,0,0,0,0,0.2071428571,0,0,0.1428571429,0.5,0,0.0142857143,0,0,0,0.0825,0.2432142857,0,0,0.0125,2.37,
10-24,0.6625,0.125,0,0.1625,0.0625,0.1375,0,0.05,0.175,0,0.075,0.1125,0.125,0,0.4375,0,0.0125,0,2.4,0,0.19,0,0,0.0285714286,0.0285714286,0,0.0071428571,0.1357142857,0,0,0,0,0.1857142857,0,0,0.1357142857,0.5857142857,0,0,0.0214285714,0,0,0.125,0.2395,0,0,0.0125,2.4,
10-25,0.6625,0.3125,0,0.1625,0.0625,0.0875,0,0.0625,0.175,0,0.1375,0.1625,0.2,0,0.4625,0,0.0125,0,2.51,0,0.22,0,0,0.0071428571,0.0357142857,0,0.0285714286,0.1142857143,0,0,0,0,0.1714285714,0,0,0.15,0.5285714286,0,0,0,0,0,0.145,0.3425,0,0,0.0125,2.51,
10-26,0.6625,0.3125,0,0.25,0,0.0875,0,0.0625,0.175,0,0.4,0.175,0.6875,0,0.4,0,0.0125,0,2.51,0,0.22,0,0,0,0.0357142857,0.0285714286,0.0142857143,0.0928571429,0,0,0,0,0.1571428571,0.0071428571,0.05,0.5857142857,0.4642857143,0,0,0,0,0,0.1678571429,0.4885714286,0,0,0.0142857143,2.51,
10-27,0.675,0.2875,0,0.25,0,0.85,0,0.0625,0.175,0,0.525,0.15,0.8875,0,0.575,0,0.125,0,2.46,0,0.23,0,0,0,0.0214285714,0.0357142857,0.0071428571,0.0785714286,0,0,0,0,0.1642857143,0,0.05,0.5285714286,0.3714285714,0,0,0,0,0,0.1707142857,0.595,0,0,0.0214285714,2.46,
10-28,0.6375,0.3,0,0.2375,0,1.2125,0.05,0.0625,0.175,0,0.8375,0.1625,0.9125,0,1.1125,0,0.2625,0,3.76,0,0.23,0,0,0.0285714286,0.0214285714,0.0142857143,0,0.0642857143,0,0,0,0,0.1571428571,0,0.0428571429,0.3642857143,0.3428571429,0,0,0,0,0,0.208,0.8525,0,0,0.0285714286,3.76,
10-29,0.625,0.35,0,0.225,0,1.225,0.0875,0.0625,0.175,0,1.2,0.1875,0.8875,0,0.9875,0,0.325,0,3.94,0.09,0.23,0,0,0.3285714286,0.0142857143,0,0,0.6428571429,0,0,0,0,0.15,0,0.0142857143,0.2285714286,0.3,0,0.0071428571,0,0,0,0.2294285714,0.9075,0,0.0214285714,0.0625,3.94,
10-30,0.625,0.4,0,0.225,0,1.425,0.1625,0.0625,0.175,0,1.2375,0.1875,1.05,0,1.2,0,0.3125,0,3.91,0.06,0.23,0,0,0.3428571429,0.0071428571,0,0,0.75,0,0.0214285714,0,0,0.1357142857,0,0.0071428571,0.1428571429,0.2428571429,0,0.1571428571,0,0,0,0.228,1.08,0,0.0285714286,0.0625,3.91,
