date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-20,0.0818181818,0.06,0,0,0,0,0.025,0,0,0,0,0,0,0,0.4538461538,0,0,0.0076923077,0.0153846154,0,0.0214285714,0,0,0,0,0.0142857143,0,0,0.00625,0,0.0166666667,0,0,0,0,0,0,0,0.0111111111,0,0,0.0055555556,0,0,0.0555555556,0,0,0,0,0.0235714286,0,0,0,0.4538461538,
10-21,0.0545454545,0.06,0,0,0.0166666667,0,0.025,0,0,0,0,0,0,0,0.4,0,0.0076923077,0.0230769231,0.0230769231,0,0.05,0,0,0,0,0.0142857143,0,0,0.00625,0,0.0277777778,0,0,0,0,0,0,0,0.0055555556,0,0,0.0055555556,0,0,0.0333333333,0,0,0,0.0055555556,0.0311111111,0,0,0,0.4,
10-22,0.0545454545,0.06,0,0,0.0416666667,0,0.0333333333,0,0,0,0,0,0,0,0.3615384615,0,0.0384615385,0.0692307692,0.0230769231,0,0.1785714286,0,0,0,0.2928571429,0,0,0,0.00625,0,0.0444444444,0,0,0,0,0,0,0,0,0,0,0.0333333333,0,0,0.0222222222,0,0,0,0.005,0.0578181818,0,0,0,0.3615384615,
10-23,0.0454545455,0,0,0,0.0416666667,0,0.0416666667,0,0,0,0,0,0,0,0.2461538462,0,0.0461538462,0.0538461538,0.0230769231,0,0.3,0,0,0,0.1571428571,0,0,0,0.00625,0,0.0611111111,0,0,0,0,0,0,0,0,0,0,0.0333333333,0,0,0.0166666667,0,0,0,0,0.0507692308,0,0,0,0.3,
10-24,0.0454545455,0,0,0,0.075,0,0.0416666667,0,0,0,0,0,0,0,0.1615384615,0,0.0538461538,0.0692307692,0.0153846154,0,0.6357142857,0,0,0,0.0857142857,0,0,0,0.00625,0,0.0444444444,0,0,0,0,0,0,0,0,0,0,0.0333333333,0.0166666667,0,0,0,0,0,0,0.0630769231,0,0,0,0.6357142857,
10-25,0.0454545455,0,0,0,0.0833333333,0,0.05,0,0,0,0,0,0,0,0.1,0,0.0846153846,0.2538461538,0.0153846154,0,0.45,0,0,0,0.0714285714,0,0,0,0.00625,0,0.0388888889,0,0,0,0,0,0,0,0,0,0,0.0333333333,0.0166666667,0,0,0,0,0,0,0.0785714286,0,0,0,0.45,
10-26,0.0454545455,0,0,0,0.0833333333,0,0.05,0,0,0,0,0,0,0,0.0769230769,0,0.2769230769,0.2384615385,0.0769230769,0,0.3357142857,0,0.0285714286,0,0.0714285714,0,0,0,0.0125,0,0.0388888889,0.0111111111,0,0,0,0,0,0,0,0.0055555556,0.0176470588,0.0444444444,0.0166666667,0,0,0,0,0,0.0158333333,0.0769230769,0,0,0,0.3357142857,
10-27,0.1272727273,0,0,0,0.0833333333,0,0.0416666667,0,0,0,0,0,0,0,0.0692307692,0,0.9384615385,0.2076923077,0.0692307692,0,0.2642857143,0,0.1285714286,0,0.0714285714,0,0,0,0.0125,0,0.0333333333,0.0388888889,0,0,0,0,0,0,0,0,0.0117647059,0.0388888889,0.0111111111,0,0,0,0,0,0.0123529412,0.1096969697,0,0,0,0.9384615385,
10-28,0.1272727273,0,0,0,0.0833333333,0,0.0416666667,0,0,0,0,0.1583333333,0,0,0.0692307692,0,1.3384615385,0.1615384615,0.0384615385,0,0.7357142857,0,0.1714285714,0,0.0785714286,0,0,0,0.0125,0.0388888889,0.0222222222,0.0333333333,0,0,0,0,0,0,0,0,0.0411764706,0.0333333333,0.0111111111,0,0,0,0,0,0.0333333333,0.1459090909,0,0,0,1.3384615385,
10-29,0.1,0,0,0,0.0833333333,0,0.0416666667,0,0,0,0,0.125,0,0,0.0692307692,0,1.7923076923,0.0923076923,0.0230769231,0,0.5714285714,0,0.1571428571,0,0.4071428571,0,0,0,0.0125,0.0277777778,0.0222222222,0.0166666667,0,0,0,0,0,0,0,0,0.0294117647,0.0333333333,0.0111111111,0,0.0111111111,0,0,0,0.0229059829,0.115,0,0,0,1.7923076923,
